Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
14178;Sisyphi Tholus;27.52;-75.68;341.47;-75.48;-75.89;342.41;340.58;Planetocentric  +East  0 - 360;Greek;Tholus;TH;mc30;
5585;Sithonius Lacus;0;44.66;115;44.66;44.66;115;115;Planetocentric  +East  0 - 360;Latin;Albedo Feature;AL;mc06;
5586;Sitka;16.89;-4.28;320.77;-4.14;-4.43;320.91;320.63;Planetocentric  +East  0 - 360;United States;Crater;AA;mc19;
14280;Siton Undae;222.97;75.55;297.28;77.5;73.79;301.4;291.38;Planetocentric  +East  0 - 360;Scandinavian;"Unda; undae";UN;mc01;
15169;Sitrah;33.09;-59.09;217.72;-58.81;-59.37;218.24;217.19;Planetocentric  +East  0 - 360;Bahrain;Crater;AA;mc24;
5593;Sklodowska;109.72;33.52;357.05;34.45;32.6;358.16;355.94;Planetocentric  +East  0 - 360;Poland;Crater;AA;mc04;
5600;Slipher;127.14;-47.34;275.54;-46.27;-48.42;277.13;273.97;Planetocentric  +East  0 - 360;American;Crater;AA;mc25;11/17/2010
5603;Smith;74.33;-65.76;257.27;-65.19;-66.34;258.76;255.77;Planetocentric  +East  0 - 360;Great Britain;Crater;AA;mc30;
14206;Soffen;58.31;-23.73;140.86;-23.24;-24.22;141.4;140.33;Planetocentric  +East  0 - 360;United States;Crater;AA;mc23;
5805;Sogel;28.45;21.43;304.85;21.68;21.2;305.11;304.59;Planetocentric  +East  0 - 360;Germany;Crater;AA;mc10;
5620;Sokol;22.18;-42.37;319.32;-42.18;-42.56;319.58;319.07;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc26;
5622;Solano;9;-26.74;108.95;-26.66;-26.81;109.03;108.86;Planetocentric  +East  0 - 360;Philippines;Crater;AA;mc22;
5623;Solis Dorsa;779.5;-22.88;280.26;-16.39;-29.32;286.79;273.01;Planetocentric  +East  0 - 360;Latin;Dorsum;DO;mc18;
5624;Solis Lacus;0;-27.72;270;-27.72;-27.72;270;270;Planetocentric  +East  0 - 360;Latin;Albedo Feature;AL;mc17;
5625;Solis Planum;1811.23;-26.4;270.33;-16.62;-34.97;286.9;254.42;Planetocentric  +East  0 - 360;Latin;Planum;PM;mc18;
5643;Somerset;3.33;-9.73;308.74;-9.71;-9.76;308.77;308.72;Planetocentric  +East  0 - 360;United States;Crater;AA;mc18;
5647;Soochow;30.06;16.73;331.18;16.98;16.47;331.45;330.92;Planetocentric  +East  0 - 360;China;Crater;AA;mc11;
5654;Souris;2.93;19.47;113.31;19.5;19.45;113.34;113.29;Planetocentric  +East  0 - 360;Canada;Crater;AA;mc14;
5656;South;101.84;-76.94;21.91;-76.08;-77.8;25.71;18.11;Planetocentric  +East  0 - 360;Great Britain;Crater;AA;mc30;
5663;Spallanzani;71.69;-58.01;86.38;-57.4;-58.61;87.52;85.24;Planetocentric  +East  0 - 360;Italy;Crater;AA;mc28;
5672;Spry;7.67;-3.7;321.57;-3.63;-3.76;321.63;321.5;Planetocentric  +East  0 - 360;United States;Crater;AA;mc19;
5674;Spur;8.09;22.02;307.74;22.09;21.95;307.81;307.66;Planetocentric  +East  0 - 360;United States;Crater;AA;mc10;
5677;Sripur;22.99;-30.74;259.29;-30.55;-30.93;259.51;259.06;Planetocentric  +East  0 - 360;Bangladesh;Crater;AA;mc25;
5689;Stege;76.44;3.75;300.5;4.4;3.11;301.15;299.86;Planetocentric  +East  0 - 360;Denmark;Crater;AA;mc10;
14286;Steinheim;11.28;54.57;190.65;54.67;54.48;190.82;190.49;Planetocentric  +East  0 - 360;Germany;Crater;AA;mc02;
5697;Steno;103.54;-67.75;244.63;-66.88;-68.63;246.95;242.33;Planetocentric  +East  0 - 360;Denmark;Crater;AA;mc30;
5710;Stobs;12.06;-4.96;321.7;-4.85;-5.06;321.81;321.6;Planetocentric  +East  0 - 360;Scotland;Crater;AA;mc19;
5712;Stokes;62.74;55.63;171.29;56.16;55.1;172.23;170.36;Planetocentric  +East  0 - 360;Great Britain;Crater;AA;mc07;
5714;Ston;6.49;46.87;122.55;46.93;46.82;122.64;122.48;Planetocentric  +East  0 - 360;Croatia;Crater;AA;mc07;
5717;Stoney;161.37;-69.61;221.49;-68.25;-70.97;225.41;217.59;Planetocentric  +East  0 - 360;Ireland;Crater;AA;mc30;
5731;Stura Vallis;75;22.71;142.47;23.02;22.34;143.06;141.85;Planetocentric  +East  0 - 360;Roman;Vallis;VA;mc15;
