id,pdes,name,name_ru,diameter,q,per,class,horizons,begin_time,end_time
a0004848,4848,Tutenchamun,Tutenchamun,22.453,2.738015259,2034.753447,MBA,DES=+2004848,1998-08-10-07-28-46,2000-01-01-00-00-00
a0003501,3501,Olegiya,Olegiya,22.446,2.658728457,1823.80289,MBA,DES=+2003501,1998-10-02-01-10-58,2000-01-01-00-00-00
a0002016,2016,Heinemann,Heinemann,22.435,2.527367911,2020.316681,MBA,DES=+2002016,1998-08-13-22-06-00,2000-01-01-00-00-00
a0000876,876,Scott,Scott,22.42,2.667414563,1906.999857,MBA,DES=+2000876,1998-09-11-06-00-04,2000-01-01-00-00-00
a0001297,1297,Quadea,Quadea,22.42,2.80371045,1917.111745,MBA,DES=+2001297,1998-09-08-17-19-47,2000-01-01-00-00-00
a0012214,12214,Miroshnikov,Мирошников,22.418,2.696192596,2092.028051,OMB,DES=+2012214,1998-07-26-23-49-55,2000-01-01-00-00-00
a0002450,2450,Ioannisiani,Ioannisiani,22.403,2.803105705,2015.857837,MBA,DES=+2002450,1998-08-15-00-51-11,2000-01-01-00-00-00
a0006374,6374,Beslan,Beslan,22.393,2.926922092,2065.310216,MBA,DES=+2006374,1998-08-02-16-08-20,2000-01-01-00-00-00
a0002550,2550,Houssay,Houssay,22.379,2.645825848,2082.552168,MBA,DES=+2002550,1998-07-29-08-41-14,2000-01-01-00-00-00
a0001732,1732,Heike,Heike,22.378,2.677419264,1910.159581,MBA,DES=+2001732,1998-09-10-11-02-34,2000-01-01-00-00-00
a0007253,7253,Nara,Нара,22.369,3.023523287,2073.572255,MBA,DES=+2007253,1998-07-31-14-34-00,2000-01-01-00-00-00
a0002116,2116,Mtskheta,Mtskheta,22.363,2.433481395,1520.523238,MBA,DES=+2002116,1998-12-16-20-51-39,2000-01-01-00-00-00
a0002405,2405,Welch,Welch,22.36,2.765852078,2095.188222,OMB,DES=+2002405,1998-07-26-04-52-15,2000-01-01-00-00-00
a0003560,3560,Chenqian,Chenqian,22.356,2.658139687,1913.033946,MBA,DES=+2003560,1998-09-09-17-47-47,2000-01-01-00-00-00
a0002531,2531,Cambridge,Cambridge,22.349,2.840370294,1906.855837,MBA,DES=+2002531,1998-09-11-06-51-54,2000-01-01-00-00-00
a0001040,1040,Klumpkea,Klumpkea,22.34,2.514000936,2004.885128,MBA,DES=+2001040,1998-08-17-18-41-22,2000-01-01-00-00-00
a0001236,1236,Thais,Thais,22.34,1.84373708,1384.261934,MBA,DES=+2001236,1999-01-19-22-25-42,2000-01-01-00-00-00
a0014791,14791,Atreus,Atreus,22.33,4.314963189,4262.382596,GRK,DES=+2014791,1997-01-30-09-42-17,2000-01-01-00-00-00
a0001327,1327,Namaqua,Namaqua,22.318,2.335989225,1695.027308,MBA,DES=+2001327,1998-11-03-05-50-11,2000-01-01-00-00-00
a0010143,10143,Kamogawa,Kamogawa,22.314,2.336907579,1884.179687,MBA,DES=+2010143,1998-09-16-22-55-19,2000-01-01-00-00-00
a0053419,53419,,,22.313,4.71491223,4291.87372,TJN,DES=+2053419,1997-01-23-00-45-29,2000-01-01-00-00-00
a0057108,57108,,,22.31,2.449892204,1814.664348,MBA,DES=+2057108,1998-10-04-08-00-51,2000-01-01-00-00-00
a0085807,85807,,,22.309,4.727394702,4307.375282,GRK,DES=+2085807,1997-01-19-03-44-55,2000-01-01-00-00-00
a0003667,3667,Anne-Marie,Анна-Мария,22.307,2.366725571,1974.934811,MBA,DES=+2003667,1998-08-25-06-23-29,2000-01-01-00-00-00
a0001076,1076,Viola,Viola,22.298,2.112820389,1421.045419,MBA,DES=+2001076,1999-01-10-17-43-38,2000-01-01-00-00-00
a0018895,18895,,,22.297,2.648404153,2099.235269,OMB,DES=+2018895,1998-07-25-04-35-19,2000-01-01-00-00-00
a0012916,12916,Eteoneus,Eteoneus,22.289,5.045050329,4265.565181,GRK,DES=+2012916,1997-01-29-14-36-34,2000-01-01-00-00-00
a0002505,2505,Hebei,Hebei,22.288,2.596761877,2035.170175,MBA,DES=+2002505,1998-08-10-04-58-45,2000-01-01-00-00-00
a0057041,57041,,,22.282,4.924067685,4477.393012,GRK,DES=+2057041,1996-12-07-15-38-32,2000-01-01-00-00-00
a0001505,1505,Koranna,Koranna,22.277,2.304918192,1584.274771,MBA,DES=+2001505,1998-11-30-22-21-05,2000-01-01-00-00-00
a0037298,37298,,,22.269,5.038917984,4222.869714,GRK,DES=+2037298,1997-02-09-06-46-56,2000-01-01-00-00-00
a0065097,65097,,,22.263,4.794870119,4248.184011,GRK,DES=+2065097,1997-02-02-22-53-47,2000-01-01-00-00-00
a0025977,25977,,,22.255,2.700239912,1999.778775,MBA,DES=+2025977,1998-08-19-01-19-39,2000-01-01-00-00-00
a0006038,6038,,,22.248,2.463904636,1943.903392,MBA,DES=+2006038,1998-09-02-00-34-47,2000-01-01-00-00-00
a0002372,2372,Proskurin,Проскурин,22.245,2.57559074,2013.767362,MBA,DES=+2002372,1998-08-15-13-23-45,2000-01-01-00-00-00
a0002361,2361,Gogol,Гоголь,22.244,2.694374443,2030.66147,MBA,DES=+2002361,1998-08-11-08-01-53,2000-01-01-00-00-00
a0001836,1836,Komarov,Комаров,22.24,2.252550606,1697.909937,MBA,DES=+2001836,1998-11-02-12-32-26,2000-01-01-00-00-00
a0003246,3246,Bidstrup,Bidstrup,22.225,3.089042271,2084.10458,MBA,DES=+2003246,1998-07-28-23-22-22,2000-01-01-00-00-00
a0011875,11875,Rhone,Rhone,22.222,2.709954697,2060.453549,MBA,DES=+2011875,1998-08-03-21-16-44,2000-01-01-00-00-00
a0057904,57904,,,22.222,4.881129123,4397.175116,GRK,DES=+2057904,1996-12-27-16-56-59,2000-01-01-00-00-00
a0010672,10672,Kostyukova,Костюкова,22.209,2.67148923,1927.123914,MBA,DES=+2010672,1998-09-06-05-15-24,2000-01-01-00-00-00
a0003981,3981,Stodola,Stodola,22.204,2.630422129,2060.125733,MBA,DES=+2003981,1998-08-03-23-14-45,2000-01-01-00-00-00
a0011488,11488,,,22.193,4.989147872,4293.568017,TJN,DES=+2011488,1997-01-22-14-35-32,2000-01-01-00-00-00
a0001358,1358,Gaika,Gaika,22.183,2.066274636,1423.773524,MBA,DES=+2001358,1999-01-10-01-21-31,2000-01-01-00-00-00
a0018071,18071,,,22.183,4.989337062,4435.502379,GRK,DES=+2018071,1996-12-18-02-59-10,2000-01-01-00-00-00
a0004174,4174,Pikulia,Pikulia,22.181,2.742533746,2074.618096,MBA,DES=+2004174,1998-07-31-08-17-30,2000-01-01-00-00-00
a0030498,30498,,,22.172,4.815332292,4439.554026,TJN,DES=+2030498,1996-12-17-02-40-35,2000-01-01-00-00-00
a0000975,975,Perseverantia,Perseverantia,22.169,2.740170727,1741.825759,MBA,DES=+2000975,1998-10-22-13-02-44,2000-01-01-00-00-00
a0042195,42195,,,22.164,2.385219584,1995.266208,MBA,DES=+2042195,1998-08-20-04-24-10,2000-01-01-00-00-00
a0003342,3342,Fivesparks,Fivesparks,22.163,2.870482791,2026.423533,MBA,DES=+2003342,1998-08-12-09-27-32,2000-01-01-00-00-00
a0006850,6850,,,22.14,2.856523104,2040.165247,MBA,DES=+2006850,1998-08-08-23-00-31,2000-01-01-00-00-00
a0063955,63955,,,22.136,4.50556024,4289.941484,TJN,DES=+2063955,1997-01-23-12-21-05,2000-01-01-00-00-00
a0001142,1142,Aetolia,Aetolia,22.135,2.928265728,2076.863538,MBA,DES=+2001142,1998-07-30-18-49-08,2000-01-01-00-00-00
a0001466,1466,Mundleria,Mundleria,22.131,2.003663154,1338.707544,MBA,DES=+2001466,1999-01-31-07-45-17,2000-01-01-00-00-00
a0000662,662,Newtonia,Newtonia,22.127,2.000919766,1490.064092,MBA,DES=+2000662,1998-12-24-11-36-56,2000-01-01-00-00-00
a0001534,1534,Nasi,Nasi,22.12,2.041270993,1646.519773,MBA,DES=+2001534,1998-11-15-08-52-53,2000-01-01-00-00-00
a0016583,16583,Oersted,Эрстед,22.102,3.061553972,2120.915864,OMB,DES=+2016583,1998-07-19-18-30-18,2000-01-01-00-00-00
a0005439,5439,Couturier,Couturier,22.099,3.321353287,2861.999528,OMB,DES=+2005439,1998-01-15-12-00-11,2000-01-01-00-00-00
a0010291,10291,,,22.098,2.652917967,1880.541036,MBA,DES=+2010291,1998-09-17-20-45-14,2000-01-01-00-00-00
a0119528,119528,,,22.097,4.642501106,4302.796458,TJN,DES=+2119528,1997-01-20-07-13-18,2000-01-01-00-00-00
a0002465,2465,Wilson,Wilson,22.087,2.552038459,1669.338871,MBA,DES=+2002465,1998-11-09-15-58-01,2000-01-01-00-00-00
a0033800,33800,Gross,Гросс,22.086,3.047729673,2095.127085,OMB,DES=+2033800,1998-07-26-05-14-15,2000-01-01-00-00-00
a0015136,15136,,,22.077,3.077610908,2122.043088,OMB,DES=+2015136,1998-07-19-11-44-30,2000-01-01-00-00-00
a0013475,13475,Orestes,Orestes,22.073,4.79841307,4303.407215,GRK,DES=+2013475,1997-01-20-03-33-26,2000-01-01-00-00-00
a0003526,3526,Jeffbell,Jeffbell,22.055,2.532421589,1702.859371,MBA,DES=+2003526,1998-11-01-06-50-38,2000-01-01-00-00-00
a0055578,55578,,,22.045,4.999221451,4480.152538,GRK,DES=+2055578,1996-12-06-23-05-07,2000-01-01-00-00-00
a0003502,3502,Huangpu,Huangpu,22.044,2.593450584,2026.40406,MBA,DES=+2003502,1998-08-12-09-34-33,2000-01-01-00-00-00
a0005505,5505,Rundetaarn,Rundetaarn,22.042,2.467243416,1782.569383,MBA,DES=+2005505,1998-10-12-08-35-02,2000-01-01-00-00-00
a0003514,3514,Hooke,Hooke,22.037,3.197592462,2876.332763,OMB,DES=+2003514,1998-01-11-22-00-13,2000-01-01-00-00-00
a0049630,49630,,,22.037,2.818236202,2088.015348,MBA,DES=+2049630,1998-07-27-23-54-29,2000-01-01-00-00-00
a0003846,3846,Hazel,Hazel,22.034,2.688817121,1841.879194,MBA,DES=+2003846,1998-09-27-12-43-30,2000-01-01-00-00-00
a0006039,6039,Parmenides,Parmenides,22.03,3.233000693,2308.962115,OMB,DES=+2006039,1998-06-02-18-13-39,2000-01-01-00-00-00
a0011251,11251,Icarion,Icarion,22.012,5.150398046,4284.358889,GRK,DES=+2011251,1997-01-24-21-50-49,2000-01-01-00-00-00
a0001541,1541,Estonia,Estonia,22,2.573774527,1681.475464,MBA,DES=+2001541,1998-11-06-15-08-50,2000-01-01-00-00-00
a0002323,2323,Zverev,Зверев,21.999,2.662578067,2034.470628,MBA,DES=+2002323,1998-08-10-09-10-35,2000-01-01-00-00-00
a0022754,22754,Olympus,Олимпус,21.999,2.911757025,2024.19823,MBA,DES=+2022754,1998-08-12-22-48-39,2000-01-01-00-00-00
a0003915,3915,Fukushima,Фукусима,21.993,2.340069662,1390.768331,MBA,DES=+2003915,1999-01-18-07-23-24,2000-01-01-00-00-00
a0000833,833,Monica,Monica,21.99,2.65251273,1910.011634,MBA,DES=+2000833,1998-09-10-11-55-49,2000-01-01-00-00-00
a0026482,26482,,,21.987,3.037839108,2124.160809,OMB,DES=+2026482,1998-07-18-23-02-07,2000-01-01-00-00-00
a0019615,19615,,,21.986,2.711338191,1886.472375,MBA,DES=+2019615,1998-09-16-09-09-57,2000-01-01-00-00-00
a0001953,1953,Rupertwildt,Rupertwildt,21.97,2.540749464,2001.458845,MBA,DES=+2001953,1998-08-18-15-14-49,2000-01-01-00-00-00
a0117385,117385,,,21.969,5.067345946,4445.678731,TJN,DES=+2117385,1996-12-15-13-55-41,2000-01-01-00-00-00
a0048269,48269,,,21.961,4.925648636,4280.359996,GRK,DES=+2048269,1997-01-25-21-50-26,2000-01-01-00-00-00
a0001801,1801,Titicaca,Titicaca,21.957,2.818798396,1921.395022,MBA,DES=+2001801,1998-09-07-15-37-48,2000-01-01-00-00-00
a0001970,1970,Sumeria,Sumeria,21.951,2.341842375,1693.608608,MBA,DES=+2001970,1998-11-03-14-20-55,2000-01-01-00-00-00
