full_name;name_plain;horizons;radius;diameter;end_time;begin_time;class;number;name;name_ru;index;state_index
Jupiter XXXVIII (Pasithee);pasithee;pasithee;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;38;Pasithee;Пасити;41;5
Jupiter XXXIX (Hegemone);hegemone;hegemone;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;39;Hegemone;Гегемон;42;5
Jupiter XL (Mneme);mneme;mneme;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;40;Mneme;Мнеме;43;5
Jupiter XLI (Aoede);aoede;aoede;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;41;Aoede;Аоэдэ;44;5
Jupiter XLII (Thelxinoe);thelxinoe;thelxinoe;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;42;Thelxinoe;Телксиное;45;5
Jupiter XLIII (Arche);arche;arche;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;43;Arche;Архэ;46;5
Jupiter XLIV (Kallichore);kallichore;kallichore;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;44;Kallichore;Каллихор;47;5
Jupiter XLV (Helike);helike;helike;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;45;Helike;Гелике;48;5
Jupiter XLVI (Carpo);carpo;carpo;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;46;Carpo;Карпо;49;5
Jupiter XLVII (Eukelade);eukelade;eukelade;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;47;Eukelade;Эвкеладе;50;5
Jupiter XLVIII (Cyllene);cyllene;cyllene;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;48;Cyllene;Силене;51;5
Jupiter XLIX (Kore);kore;kore;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;49;Kore;Коре;52;5
Jupiter L (Herse);herse;herse;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;50;Herse;Герсе;53;5
Jupiter LI (unnamed);unnamed;2010j1;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;51;2010j1;2010j1;54;5
Jupiter LII (unnamed);unnamed;2010j2;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;52;2010j2;2010j2;55;5
Jupiter LIII (Dia);dia;dia;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;53;Dia;Диа;56;5
