full_name;name_plain;horizons;radius;diameter;end_time;begin_time;class;number;name;name_ru;index
Jupiter XL (Mneme);mneme;mneme;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;40;mneme;Мнеме;43
Jupiter XLI (Aoede);aoede;aoede;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;41;aoede;Аоэдэ;44
Jupiter XLII (Thelxinoe);thelxinoe;thelxinoe;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;42;thelxinoe;Телксиное;45
Jupiter XLIII (Arche);arche;arche;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;43;arche;Архэ;46
Jupiter XLIV (Kallichore);kallichore;kallichore;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;44;kallichore;Каллихор;47
Jupiter XLV (Helike);helike;helike;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;45;helike;Гелике;48
Jupiter XLVI (Carpo);carpo;carpo;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;46;carpo;Карпо;49
Jupiter XLVII (Eukelade);eukelade;eukelade;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;47;eukelade;Эвкеладе;50
Jupiter XLVIII (Cyllene);cyllene;cyllene;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;48;cyllene;Силене;51
Jupiter XLIX (Kore);kore;kore;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;49;kore;Коре;52
Jupiter L (Herse);herse;herse;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;50;herse;Герсе;53
Jupiter LI (unnamed);unnamed;2010j1;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;51;unnamed;2010j1;54
Jupiter LII (unnamed);unnamed;2010j2;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;52;unnamed;2010j2;55
Jupiter LIII (Dia);dia;dia;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;53;dia;Диа;56
Neptune III (Naiad);naiad;naiad;33;66;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;1;naiad;Наяда;57
Neptune IV (Thalassa);thalassa;thalassa;41;82;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;2;thalassa;Таласса;58
Neptune V (Despina);despina;despina;75;150;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;3;despina;Деспина;59
Neptune VI (Galatea);galatea;galatea;88;176;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;4;galatea;Галатея;60
Neptune VII (Larissa);larissa;larissa;97;194;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;5;larissa;Ларисса;61
2004n1;2004n1;2004n1;9;18;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;6;2004n1;2004n1;62
Neptune VIII (Proteus);proteus;proteus;210;420;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;7;proteus;Протей;63
Neptune I (Triton);triton;triton;1353.4;2706.8;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;8;triton;Тритон;64
Neptune II (Nereid);nereid;nereid;170;340;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;9;nereid;Нереида;65
Neptune IX (Halimede);halimede;halimede;31;62;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;10;halimede;Галимеда;66
Neptune XI (Sao);sao;sao;22;44;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;11;sao;Сао;67
Neptune XII (Laomedeia);laomedeia;laomedeia;21;42;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;12;laomedeia;Лаомедея;68
Neptune X (Psamathe);psamathe;psamathe;20;40;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;13;psamathe;Псамафа;69
Neptune XIII (Neso);neso;neso;30;60;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;14;neso;Несо;70
Uranus VI (Cordelia);cordelia;cordelia;20.1;40.2;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;1;cordelia;Корделия;71
Uranus VII (Ophelia);ophelia;ophelia;21.4;42.8;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;2;ophelia;Офелия;72
Uranus VIII (Bianca);bianca;bianca;27;54;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;3;bianca;Бианка;73
Uranus IX (Cressida);cressida;cressida;41;82;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;4;cressida;Крессида;74
Uranus X (Desdemona);desdemona;desdemona;35;70;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;5;desdemona;Дездемона;75
Uranus XI (Juliet);juliet;juliet;53;106;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;6;juliet;Джульетта;76
Uranus XII (Portia);portia;portia;70;140;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;7;portia;Порция;77
Uranus XIII (Rosalind);rosalind;rosalind;36;72;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;8;rosalind;Розалинда;78
Uranus XXVII (Cupid);cupid;cupid;9;18;2000-01-01-00-00-00;1986-01-01-00-00-00;Uranus;9;cupid;Купидон;79
Uranus XIV (Belinda);belinda;belinda;45;90;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;10;belinda;Белинда;80
Uranus XXV (Perdita);perdita;perdita;13;26;2000-01-01-00-00-00;1986-01-01-00-00-00;Uranus;11;perdita;Пердита;81
Uranus XV (Puck);puck;puck;81;162;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;12;puck;Пак;82
Uranus XXVI (Mab);mab;mab;12;24;2000-01-01-00-00-00;1986-01-01-00-00-00;Uranus;13;mab;Маб;83
Uranus V (Miranda);miranda;miranda;235.8;471.6;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;14;miranda;Миранда;84
Uranus I (Ariel);ariel;ariel;578.9;1157.8;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;15;ariel;Ариэль;85
Uranus II (Umbriel);umbriel;umbriel;584.7;1169.4;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;16;umbriel;Умбриэль;86
Uranus III (Titania);titania;titania;788.9;1577.8;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;17;titania;Титания;87
Uranus IV (Oberon);oberon;oberon;761.4;1522.8;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;18;oberon;Оберон;88
Uranus XXII (Francisco);francisco;francisco;11;22;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;19;francisco;Франциско;89
Uranus XVI (Caliban);caliban;caliban;36;72;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;20;caliban;Калибан;90
Uranus XX (Stephano);stephano;stephano;16;32;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;21;stephano;Стефано;91
Uranus XXI (Trinculo);trinculo;trinculo;9;18;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;22;trinculo;Тринкуло;92
Uranus XVII (Sycorax);sycorax;sycorax;75;150;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;23;sycorax;Сикоракса;93
Uranus XXIII (Margaret);margaret;margaret;10;20;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;24;margaret;Маргарет;94
Uranus XVIII (Prospero);prospero;prospero;25;50;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;25;prospero;Просперо;95
Uranus XIX (Setebos);setebos;setebos;24;48;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;26;setebos;Сетебос;96
Uranus XXIV (Ferdinand);ferdinand;ferdinand;10;20;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;27;ferdinand;Фердинанд;97
Saturn I (Mimas);mimas;mimas;198.2;396.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;1;mimas;Мимас;98
Saturn II (Enceladus);enceladus;enceladus;252.1;504.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;2;enceladus;Энцелад;99
Saturn III (Tethys);tethys;tethys;533;1066;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;3;tethys;Тефия;100
Saturn IV (Dione);dione;dione;561.7;1123.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;4;dione;Диона;101
Saturn V (Rhea);rhea;rhea;764.3;1528.6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;5;rhea;Рея;102
Saturn VI (Titan);titan;606;2574.73;5149.46;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;6;titan;Титан;103
Saturn VII (Hyperion);hyperion;hyperion;135;270;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;7;hyperion;Гиперион;104
Saturn VIII (Iapetus);iapetus;iapetus;735.6;1471.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;8;iapetus;Япет;105
Saturn IX (Phoebe);phoebe;phoebe;106.5;213;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;9;phoebe;Феба;106
Saturn X (Janus);janus;janus;89.5;179;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;10;janus;Янус;107
Saturn XI (Epimetheus);epimetheus;epimetheus;58.1;116.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;11;epimetheus;Эпиметей;108
Saturn XII (Helene);helene;helene;17.6;35.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;12;helene;Елена;109
Saturn XIII (Telesto);telesto;telesto;12.4;24.8;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;13;telesto;Телесто;110
Saturn XIV (Calypso);calypso;calypso;10.7;21.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;14;calypso;Калипсо;111
Saturn XV (Atlas);atlas;atlas;15.1;30.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;15;atlas;Атлас;112
Saturn XVI (Prometheus);prometheus;prometheus;43.1;86.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;16;prometheus;Прометей;113
Saturn XVII (Pandora);pandora;pandora;40.7;81.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;17;pandora;Пандора;114
Saturn XVIII (Pan);pan;618;14.1;28.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;18;pan;Пан;115
Saturn XIX (Ymir);ymir;ymir;9;18;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;19;ymir;Имир;116
Saturn XX (Paaliaq);paaliaq;paaliaq;11;22;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;20;paaliaq;Палиак;117
Saturn XXI (Tarvos);tarvos;tarvos;7.5;15;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;21;tarvos;Тарвос;118
Saturn XXII (Ijiraq);ijiraq;ijiraq;6;12;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;22;ijiraq;Иджирак;119
Saturn XXIII (Suttungr);suttungr;suttungr;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;23;suttungr;Саттунгр;120
Saturn XXIV (Kiviuq);kiviuq;kiviuq;8;16;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;24;kiviuq;Кивиок;121
Saturn XXV (Mundilfari);mundilfari;mundilfari;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;25;mundilfari;Мундильфари;122
Saturn XXVI (Albiorix);albiorix;albiorix;16;32;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;26;albiorix;Альбиорикс;123
Saturn XXVII (Skathi);skathi;skathi;4;8;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;27;skathi;Скади;124
Saturn XXVIII (Erriapus);erriapus;erriapus;5;10;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;28;erriapus;Эррипо;125
Saturn XXIX (Siarnaq);siarnaq;siarnaq;20;40;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;29;siarnaq;Сиарнак;126
Saturn XXX (Thrymr);thrymr;thrymr;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;30;thrymr;Тримр;127
Saturn XXXI (Narvi);narvi;narvi;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;31;narvi;Нарви;128
Saturn XXXII (Methone);methone;methone;1.6;3.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;32;methone;Мефона;129
Saturn XXXIII (Pallene);pallene;pallene;2.5;5;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;33;pallene;Паллена;130
Saturn XXXIV (Polydeuces);polydeuces;polydeuces;1.3;2.6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;34;polydeuces;Полидевк;131
Saturn XXXV (Daphnis);daphnis;daphnis;3.8;7.6;2000-01-01-00-00-00;1991-01-01-00-00-00;Saturn;35;daphnis;Дафнис;132
Saturn XXXVI (Aegir);aegir;aegir;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;36;aegir;Эгир;133
Saturn XXXVII (Bebhionn);bebhionn;bebhionn;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;37;bebhionn;Бебхионн;134
Saturn XXXVIII (Bergelmir);bergelmir;bergelmir;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;38;bergelmir;Бергельмир;135
Saturn XXXIX (Bestla);bestla;bestla;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;39;bestla;Бестла;136
Saturn XL (Farbauti);farbauti;farbauti;2.5;5;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;40;farbauti;Фарбаути;137
Saturn XLI (Fenrir);fenrir;fenrir;2;4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;41;fenrir;Фенрир;138
Saturn XLII (Fornjot);fornjot;fornjot;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;42;fornjot;Форньёт;139
Saturn XLIII (Hati);hati;hati;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;43;hati;Хати;140
Saturn XLIV (Hyrrokkin);hyrrokkin;hyrrokkin;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;44;hyrrokkin;Гирроккин;141
Saturn XLV (Kari);kari;kari;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;45;kari;Кари;142
Saturn XLVI (Loge);loge;loge;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;46;loge;Ложе;143
Saturn XLVII (Skoll);skoll;skoll;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;47;skoll;Сколл;144
Saturn XLVIII (Surtur);surtur;surtur;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;48;surtur;Суртур;145
Saturn XLIX (Anthe);anthe;anthe;0.9;1.8;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;49;anthe;Анфе;146
Saturn L (Jarnsaxa);jarnsaxa;jarnsaxa;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;50;jarnsaxa;Ярнсакса;147
Saturn LI (Greip);greip;greip;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;51;greip;Грейп;148
Saturn LII (Tarqeq);tarqeq;tarqeq;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;52;tarqeq;Таркек;149
Saturn LIII (Aegaeon);aegaeon;aegaeon;0.3;0.6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;53;aegaeon;Эгеон;150
