Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
8430;Copernicus L;3.89;13.48;342.92;13.55;13.42;342.98;342.85;Planetocentric  +East  0 - 360;Europe;Poland;Satellite Feature;SF;LAC-58;
8431;Copernicus N;6.33;6.91;336.69;7.01;6.81;336.78;336.6;Planetocentric  +East  0 - 360;Europe;Poland;Satellite Feature;SF;LAC-58;
8432;Copernicus P;4.32;10.11;343.94;10.18;10.04;344.01;343.87;Planetocentric  +East  0 - 360;Europe;Poland;Satellite Feature;SF;LAC-58;
8433;Copernicus R;3.57;8.06;343.16;8.12;8;343.21;343.1;Planetocentric  +East  0 - 360;Europe;Poland;Satellite Feature;SF;LAC-58;
1308;Cori;67.22;-50.48;207.09;-49.37;-51.59;208.84;205.35;Planetocentric  +East  0 - 360;Europe;Czechoslovakia;"Crater; craters";AA;LAC-133;
8434;Cori G;20.54;-50.98;212.13;-50.65;-51.31;212.61;211.66;Planetocentric  +East  0 - 360;Europe;Czechoslovakia;Satellite Feature;SF;LAC-133;
1313;Coriolis;78.56;0.56;171.8;1.86;-0.73;173.09;170.5;Planetocentric  +East  0 - 360;Europe;France;"Crater; craters";AA;LAC-68;
8435;Coriolis C;17.27;1.89;173.2;2.17;1.6;173.49;172.92;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-68;
8436;Coriolis G;17.74;-0.04;174.55;0.26;-0.33;174.84;174.25;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-86;
8437;Coriolis H;13.03;-0.59;174.06;-0.38;-0.81;174.28;173.85;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-86;
8438;Coriolis L;30.52;-2.04;172.6;-1.53;-2.54;173.1;172.09;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-86;
8439;Coriolis M;28.37;-1.5;171.52;-1.03;-1.97;171.99;171.06;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-86;
8440;Coriolis S;17.54;0.1;169.66;0.39;-0.18;169.94;169.37;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-67;
8441;Coriolis W;37.57;3.06;168.05;3.68;2.44;168.67;167.43;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-67;
8442;Coriolis Y;30.87;3.57;170.96;4.08;3.06;171.47;170.45;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-68;
8443;Coriolis Z;42.39;3.92;171.48;4.62;3.22;172.18;170.78;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-68;
1322;Couder;18.56;-4.9;267.42;-4.6;-5.21;267.72;267.11;Planetocentric  +East  0 - 360;Europe;France;"Crater; craters";AA;LAC-90;
1323;Coulomb;89.72;54.46;245;55.95;52.99;247.59;242.5;Planetocentric  +East  0 - 360;Europe;France;"Crater; craters";AA;LAC-20;
8444;Coulomb C;34.17;57.17;248.62;57.74;56.61;249.67;247.59;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-20;
8445;Coulomb J;33.66;52.97;247.96;53.53;52.4;248.88;247.05;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-20;
8446;Coulomb N;30.64;50.32;243.99;50.83;49.82;244.78;243.2;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-20;
8447;Coulomb P;35.7;50.26;242.26;50.85;49.67;243.19;241.34;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-20;
8448;Coulomb V;33.12;55.28;241.62;55.83;54.74;242.58;240.66;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-20;
8449;Coulomb W;32.76;56.16;239.09;56.7;55.62;240.06;238.12;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-20;
1325;Courtney;1.24;25.14;329.19;25.16;25.11;329.22;329.17;Planetocentric  +East  0 - 360;Europe;England;"Crater; craters";AA;LAC-39;
1329;Cremona;85.12;67.24;269.14;68.64;65.83;272.77;265.51;Planetocentric  +East  0 - 360;Europe;Italy;"Crater; craters";AA;LAC-9;
8450;Cremona A;42.86;69.22;269.12;69.84;68.6;271.06;267.2;Planetocentric  +East  0 - 360;Europe;Italy;Satellite Feature;SF;LAC-9;
8451;Cremona B;19.29;67.76;267.89;68.08;67.44;268.73;267.05;Planetocentric  +East  0 - 360;Europe;Italy;Satellite Feature;SF;LAC-9;
8452;Cremona C;14.43;67.27;268.14;67.51;67.03;268.76;267.53;Planetocentric  +East  0 - 360;Europe;Italy;Satellite Feature;SF;LAC-9;
8453;Cremona L;21.6;65.94;270.04;66.27;65.6;270.9;269.19;Planetocentric  +East  0 - 360;Europe;Italy;Satellite Feature;SF;LAC-9;
1330;Crescent;1.98;-3;336.57;-2.97;-3.03;336.6;336.53;Planetocentric  +East  0 - 360;North America;American;Landing site name;LF;LAC-76;
1333;Crile;9.3;14.21;45.98;14.36;14.05;46.14;45.83;Planetocentric  +East  0 - 360;North America;American;"Crater; craters";AA;LAC-61;
