0. Acoustic grand piano
1. Bright acoustic piano
2. Electric grand piano
3. Honky-tonk piano
4. Rhodes piano
5. Chorused piano
6. Harpsichord
7. Clavinet
8. Celesta
9. Glockenspiel
10. Music box
11. Vibraphone
12. Marimba
13. Xylophone
14. Tubular bells
15. Dulcimer
16. Hammond organ
17. Percussive organ
18. Rock organ
19. Church organ
20. Reed organ
21. Accordion
22. Harmonica
23. Tango accordion
24. Acoustic guitar (nylon)
25. Acoustic guitar (steel)
26. Electric guitar (jazz)
27. Electric guitar (clean)
28. Electric guitar (muted)
29. Overdriven guitar
30. Distortion guitar
31. Guitar harmonics
32. Acoustic bass
33. Electric bass (finger)
34. Electric bass (pick)
35. Fretless bass
36. Slap bass 1
37. Slap bass 2
38. Synth bass 1
39. Synth bass 2
40. Violin
41. Viola
42. Cello
43. Contrabass
44. Tremolo strings
45. Pizzicato strings
46. Orchestral harp
47. Timpani
48. String ensemble 1
49. String ensemble 2
50. Synth. strings 1
51. Synth. strings 2
52. Choir Aahs
53. Voice Oohs
54. Synth voice
55. Orchestra hit
56. Trumpet
57. Trombone
58. Tuba
59. Muted trumpet
60. French horn
61. Brass section
62. Synth. brass 1
63. Synth. brass 2
64. Soprano sax
65. Alto sax
66. Tenor sax
67. Baritone sax
68. Oboe
69. English horn
70. Bassoon
71. Clarinet
72. Piccolo
73. Flute
74. Recorder
75. Pan flute
76. Bottle blow
77. Shakuhachi
78. Whistle
79. Ocarina
80. Lead 1 (square)
81. Lead 2 (sawtooth)
82. Lead 3 (calliope lead)
83. Lead 4 (chiff lead)
84. Lead 5 (charang)
85. Lead 6 (voice)
86. Lead 7 (fifths)
87. Lead 8 (brass + lead)
88. Pad 1 (new age)
89. Pad 2 (warm)
90. Pad 3 (polysynth)
91. Pad 4 (choir)
92. Pad 5 (bowed)
93. Pad 6 (metallic)
94. Pad 7 (halo)
95. Pad 8 (sweep)
96. FX 1 (rain)
97. FX 2 (soundtrack)
98. FX 3 (crystal)
99. FX 4 (atmosphere)
100. FX 5 (brightness)
101. FX 6 (goblins)
102. FX 7 (echoes)
103. FX 8 (sci-fi)
104. Sitar
105. Banjo
106. Shamisen
107. Koto
108. Kalimba
109. Bagpipe
110. Fiddle
111. Shanai
112. Tinkle Bell
113. Agogo
114. Steel Drums
115. Woodblock
116. Taiko Drum
117. Melodic Drum
118. Synth Drum
119. Reverse Cymbal
120. Guitar fret noise
121. Breath noise
122. Seashore
123. Bird tweet
124. Telephone ring
125. Helicopter
126. Applause
127. Gunshot
