StarID,ColorIndex,X,Y,Z
81019,0.630,-22.86238,-59.45286,-94.88884
81020,1.324,-78.89135,-205.17906,-104.29274
81021,-0.206,-41.66072,-108.36402,-62.29199
81022,0.485,-32.78804,-85.30957,52.22599
81023,0.129,-132.6458,-345.2123,-508.71163
81024,0.704,-16.03289,-41.72821,-34.13171
81025,0.438,-7.59027,-19.7556,110.99471
81026,1.054,-162.92855,-424.10338,134.92111
81027,0.534,-2826689.45326,-7359439.6406,6152111.41893
81028,0.561,-22.39398,-58.30677,-0.44873
81029,0.531,-15.6229,-40.67731,-104.95
81030,1.304,-2150900.18123,-5600816.59441,-8000280.11297
81031,0.360,-112.43509,-292.82159,323.29471
81032,0.517,-16.42287,-42.80514,-154.63692
81033,0.969,-27.34702,-71.27934,-146.90974
81034,0.523,-18.53273,-48.31211,1.24799
81035,1.121,-93.28804,-243.2903,-183.11515
81036,0.010,-574.71773,-1498.88293,-1999.41777
81037,0.521,-36.26976,-94.60584,100.70949
81038,1.122,-38.04325,-99.25603,592.95726
81039,0.947,-49.35439,-128.77351,228.23811
81040,0.394,-93.51447,-244.02854,82.25631
81041,1.180,-222.12472,-579.67575,159.84523
81042,0.693,-48.21282,-125.85795,-50.96927
81043,0.825,-5.90072,-15.40393,25.71743
81044,1.044,-66.21202,-172.90948,195.88529
81045,-0.060,-26.43409,-69.03467,97.7431
81046,1.606,-3479670.04356,-9087895.55256,2302618.25181
81047,-0.027,-26.21493,-68.4966,97.06086
81048,0.949,-13.50569,-35.29415,-10.24575
81049,1.338,-108.74233,-284.18109,323.95535
81050,0.708,-29.97187,-78.36131,-32.37664
81051,1.098,-96.48342,-252.29867,229.74883
81052,0.714,-47.64042,-124.58086,-59.3442
81053,0.203,-61.15503,-159.97256,64.90632
81054,1.187,-37.32668,-97.67863,-481.3845
81055,0.827,-3.48719,-9.12646,-0.39647
81056,0.445,-43.37731,-113.52459,-97.81882
81057,0.924,-66.76376,-174.74906,-42.96254
81058,1.089,-30.68963,-80.33914,57.62022
81059,1.535,-30.2589,-79.21362,-59.93992
81060,0.338,-244.45946,-639.97578,-635.69591
81061,1.283,-42.5168,-111.30987,-31.12914
81062,0.923,-37.12638,-97.20861,327.50933
81063,0.500,-1192.94898,-3123.69514,-3390.44809
81064,1.251,-46.6662,-122.21978,-291.47503
81065,1.500,-2024699.67741,-5302940.67186,-8232825.24088
81066,1.400,-39.45535,-103.35737,-105.88762
81067,0.555,-12.0556,-31.5843,20.26733
81068,0.983,-57.43608,-150.4886,-223.48301
81069,1.202,-32.58257,-85.39124,-164.25408
81070,0.645,-62.49097,-163.79014,-50.66809
81071,0.087,-50.15095,-131.46666,-119.34123
81072,0.607,-63.91587,-167.55651,97.41092
81073,0.563,-39.2407,-102.92778,-17.1591
81074,1.555,-90.29407,-236.85422,184.4357
81075,0.092,-20.10797,-52.7502,-133.02571
81076,0.463,-161.63467,-424.05865,-158.70583
81077,1.357,-3337166.79029,-8756682.86153,3490533.35126
81078,0.728,-73.70792,-193.44437,-42.93422
81079,0.989,-114.98838,-301.8426,-197.86099
81080,0.639,-56.83669,-149.19973,-58.58467
81081,1.312,-176.0176,-462.14783,-494.4276
81082,0.362,-131.48101,-345.29372,-218.36749
81083,0.346,-82.89413,-217.75067,205.32925
81084,0.343,-26.66408,-70.04892,-144.89399
81085,0.765,-24.55983,-64.52193,-17.51414
81086,1.057,-101.57439,-266.85678,10.13672
81087,0.443,-14.85715,-39.0352,113.4765
81088,0.382,-14.56394,-38.27098,-182.37536
81089,0.515,-212.10701,-557.51977,-374.32026
81090,0.374,-15.84761,-41.65957,-32.28419
81091,1.550,-29.93295,-78.69352,-162.65096
81092,-0.055,-45.85366,-120.57717,35.76931
81093,1.079,-133.59083,-351.40823,-884.99827
81094,0.523,-26.24764,-69.0554,-18.03746
81095,1.013,-64.34304,-169.28844,233.95158
81096,0.405,-56.39261,-148.37619,30.05108
81097,1.228,-96.94409,-255.07521,368.72547
81098,0.534,-52.22477,-137.41473,-93.49324
81099,0.391,-38.05309,-100.15511,-123.72353
81100,0.325,-19.65703,-51.74449,-117.6701
81101,0.711,-137.61942,-362.269,-34.99721
81102,0.783,-19.68364,-51.82404,-6.11463
