# StarID X Y Z
1441 25.3546 1.99291 -6.08505
1454 56.90771 4.52027 -75.66771
1457 91.71144 7.29941 119.52107
1466 66.91739 5.35677 23.64654
1492 102.14363 8.33517 43.24769
1496 23.12743 1.89062 -3.28293
1497 51.67678 4.22579 -29.88319
1513 58.01623 4.80116 -67.17365
1515 54.56961 4.51697 -91.6061
1531 142.21895 11.88901 45.19613
1532 31.104 2.60156 -75.64669
1542 85.52991 7.21118 0.7799
1549 40.2092 3.4041 -34.00517
1562 83.56808 7.1206 -26.73257
1569 24.42524 2.09485 -64.2077
1577 130.80487 11.32561 -28.76608
1578 29.69552 2.57357 -53.57913
1582 109.011 9.45865 -45.08044
1583 115.60045 10.03647 -5.02354
1592 134.93672 11.77686 3.74215
1594 19.44253 1.70173 15.37374
1607 118.19195 10.43158 -27.527
1616 97.55324 8.64276 16.43545
1621 43.19545 3.83729 -27.91414
1631 73.7141 6.60604 -55.64151
1645 3.57814 0.32392 -88.18809
1660 121.09055 11.03886 40.64204
1668 41.32834 3.78326 -89.46187
1669 33.46439 3.0652 67.8966
1670 12.01643 1.10159 29.37418
1675 72.34507 6.65153 -46.68263
1679 51.48855 4.74229 -85.24499
1681 93.8993 8.67551 -46.52631
1728 68.32687 6.54101 -29.14651
1738 56.9941 5.50018 -45.87178
1741 50.13981 4.84309 -23.42996
1742 54.25002 5.24064 -27.42322
1756 83.70568 8.166 65.14609
1775 12.89029 1.27411 -42.45313
1776 90.26708 8.9416 18.58198
1777 60.5665 6.00665 -78.34231
1784 69.25162 6.88996 -72.7889
1799 19.82717 1.98418 -4.31168
1841 100.98871 10.31523 16.71243
1849 123.17643 12.62809 76.92689
1864 76.42021 7.90998 -35.25405
1867 31.77717 3.29121 30.47312
1873 45.95114 4.77051 -88.46385
1877 109.27228 11.3702 -45.85436
1883 69.42093 7.25282 39.48368
1887 92.18435 9.64288 52.44536
1889 50.02774 5.24495 -12.8652
1903 43.75681 4.62166 -72.76513
1910 16.84728 1.78725 -66.36479
1919 116.66932 12.411 3.18792
1926 49.11538 5.23517 -75.05199
1932 13.64408 1.46074 -65.9735
1945 108.13057 11.67023 -30.64812
1949 16.17147 1.75004 -22.37488
1950 21.62138 2.34296 -26.89798
1960 105.67882 11.49838 26.38901
1965 70.68491 7.72204 -63.76802
1971 41.79743 4.58228 -24.96324
1972 47.69462 5.23682 -60.27608
1981 85.89403 9.45762 -53.6809
1987 84.35307 9.32362 -83.28434
1995 89.47707 9.943 18.92915
1996 91.94051 10.21857 -75.60842
1997 82.55291 9.18052 31.20817
2009 116.84904 13.07805 -34.01154
2016 1.63874 0.1842 -7.29078
2030 120.05628 13.58834 22.22606
2037 122.93847 13.95742 -20.83681
2044 85.87324 9.77278 -46.48483
2052 101.79478 11.62145 0.78282
2095 148.02684 17.27319 -0.12884
2102 43.3136 5.07658 -51.01432
