ID Node1 Node2 X Y Z
0 0 2348
1 0 2240
2 0 2112
3 0 1432
4 1 5588
5 1 549
6 1 5565
7 1 339
8 2 82
9 2 2904
10 2 2681
11 2 1789
12 3 13278
13 3 13331
14 3 11926
15 3 7685
16 4 1201
17 4 1470
18 4 8093
19 4 8168
20 5 2856
21 5 2852
22 5 3020
23 5 2600
24 6 10662
25 6 8982
26 6 11464
27 6 11322
28 7 6194
29 7 3576
30 7 6197
31 7 7793
32 8 7156
33 8 8194
34 8 8315
35 8 8109
36 9 3220
37 9 59
38 9 11881
39 9 3022
40 10 5575
41 10 5555
42 10 5691
43 10 4199
44 11 1771
45 11 3130
46 11 1715
47 11 90
48 12 2333
49 12 7300
50 12 12626
51 12 964
52 13 9440
53 13 1167
54 13 418
55 13 9494
56 14 7382
57 14 7296
58 14 1506
59 14 12945
60 15 3112
61 15 3751
62 15 3881
63 15 3955
64 16 7427
65 16 6505
66 16 7364
67 16 7385
68 17 2770
69 17 1806
70 17 261
71 17 736
72 18 2145
73 18 275
74 18 4274
75 18 2150
76 19 10315
77 19 9232
78 19 1220
79 19 9993
80 20 2250
81 20 3918
82 20 533
83 20 2116
84 21 1813
85 21 6875
86 21 2009
87 21 5853
88 22 2019
89 22 236
90 22 2039
91 22 2528
92 23 986
93 23 5423
94 23 5272
95 23 6135
96 24 5294
97 24 3548
98 24 1590
99 24 6349
100 25 8036
101 25 6118
102 25 8220
103 25 6213
104 26 9570
105 26 9893
106 26 9635
107 26 8562
108 27 3263
109 27 460
110 27 240
111 27 3266
112 28 3099
113 28 3874
114 28 489
115 28 3245
116 29 8452
117 29 8738
118 29 8785
119 29 755
120 30 785
121 30 6642
122 30 717
123 30 209
124 31 288
125 31 1848
126 31 12477
127 31 2480
128 32 5902
129 32 7826
130 32 6239
131 32 699
132 33 7748
133 33 11548
134 33 8831
135 33 11527
136 34 5641
137 34 6551
138 34 6662
139 34 6654
140 35 7584
141 35 7572
142 35 7257
143 35 7453
144 36 1593
145 36 6961
146 36 1620
147 36 939
148 37 3410
149 37 415
150 37 6174
151 37 249
152 38 1833
153 38 2273
154 38 1838
155 38 2296
156 39 7925
157 39 3536
158 39 4347
159 39 204
160 40 8159
161 40 8396
162 40 9905
163 40 4424
164 41 1522
165 41 11766
166 41 7096
167 41 11596
168 42 6924
169 42 1497
170 42 6913
171 42 7015
172 43 2201
173 43 12732
174 43 2285
175 43 1538
176 44 328
177 44 700
178 44 3352
179 44 3770
180 45 7939
181 45 8642
182 45 8648
183 45 8629
184 46 1795
185 46 13127
186 46 13119
187 46 13143
188 47 377
189 47 2100
190 47 234
191 47 3089
192 48 798
193 48 1939
194 48 6607
195 48 6421
196 49 85
197 49 5716
198 49 5652
199 49 5714
200 50 6576
201 50 7316
202 50 7146
203 50 1525
204 51 11041
205 51 6082
206 51 11060
207 51 10110
208 52 11071
209 52 9763
210 52 9719
211 52 10908
212 53 2104
213 53 2128
214 53 2198
215 53 2086
216 54 764
217 54 6473
218 54 6920
219 54 1760
220 55 12951
221 55 12955
222 55 12953
223 55 7464
224 56 3136
225 56 314
226 56 1856
227 56 2298
228 57 6008
229 57 6051
230 57 5909
231 57 5418
232 58 4005
233 58 569
234 58 817
235 58 4276
236 59 3220
237 59 3272
238 59 1371
239 60 3433
240 60 3434
241 60 10459
242 60 1634
243 61 606
244 61 1614
245 61 6983
246 61 868
247 62 3996
248 62 4184
249 62 4162
250 62 667
251 63 2579
252 63 4729
253 63 4754
254 63 4823
255 64 13218
256 64 519
257 64 8979
258 64 8885
259 65 6044
260 65 5360
261 65 3644
262 65 615
263 66 1735
264 66 7108
265 66 10595
266 66 7014
267 67 7756
268 67 3309
269 67 7787
270 67 7033
271 68 5595
272 68 5565
273 68 5377
274 68 5492
275 69 3458
276 69 3416
277 69 649
278 69 3406
279 70 12442
280 70 12448
281 70 12544
282 70 2697
283 71 6243
284 71 6230
285 71 6253
286 71 6195
287 72 4131
288 72 3845
289 72 4296
290 72 4584
291 73 4923
292 73 450
293 73 1050
294 73 3421
295 74 2905
296 74 510
297 74 858
298 74 2548
299 75 6957
300 75 1620
301 75 1514
302 75 7637
303 76 4860
304 76 4006
305 76 370
306 76 4849
307 77 9409
308 77 2612
309 77 9349
310 77 5006
311 78 904
312 78 468
313 78 5283
314 78 6313
315 79 5314
316 79 552
317 79 561
318 79 523
319 80 1882
320 80 2988
321 80 3028
322 80 2979
323 81 12367
324 81 9373
325 81 12229
326 81 9355
327 82 2933
328 82 2929
329 82 2967
330 83 7158
331 83 7167
332 83 291
333 83 10574
334 84 3765
335 84 3975
336 84 911
337 84 3900
338 85 5630
339 85 4196
340 85 5711
341 86 1022
342 86 2073
343 86 4282
344 86 1811
345 87 6427
346 87 5939
347 87 6667
348 87 305
349 88 -1 0.66603 0.67884 0.309161
350 88 3418
351 88 3289
352 88 1602
353 89 6418
354 89 5291
355 89 6401
356 89 337
357 90 2855
358 90 1704
359 90 7012
360 91 101
361 91 4762
362 91 4772
363 91 2854
364 92 1092
365 92 4488
366 92 3582
367 92 4103
368 93 6504
369 93 6898
370 93 6892
371 93 1723
372 94 236
373 94 2016
374 94 1831
375 94 1992
376 95 1884
377 95 1881
378 95 1852
379 95 1810
380 96 9305
381 96 9245
382 96 1169
383 96 9269
384 97 8068
385 97 949
386 97 8437
387 97 8173
388 98 6883
389 98 5937
390 98 6925
391 98 6898
392 99 3612
393 99 1266
394 99 140
395 99 3260
396 100 7800
397 100 6060
398 100 7745
399 100 7762
400 101 2588
401 101 2805
402 101 2903
403 102 4781
404 102 4834
405 102 4706
406 102 2946
407 103 3697
408 103 4916
409 103 3760
410 103 2191
411 104 13108
412 104 6405
413 104 1785
414 104 1717
415 105 894
416 105 5574
417 105 6457
418 105 3100
419 106 1539
420 106 6502
421 106 13170
422 106 13066
423 107 2665
424 107 2661
425 107 2051
426 107 734
427 108 11230
428 108 6164
429 108 9577
430 108 11228
431 109 6621
432 109 6262
433 109 6731
434 109 2149
435 110 9545
436 110 9472
437 110 9446
438 110 4842
439 111 3893
440 111 2974
441 111 3292
442 111 5008
443 112 4534
444 112 385
445 112 4382
446 112 2299
447 113 6701
448 113 5641
449 113 6682
450 113 6598
451 114 3841
452 114 3883
453 114 588
454 114 4238
455 115 3805
456 115 1582
457 115 3593
458 115 3748
459 116 5910
460 116 7823
461 116 7803
462 116 6145
463 117 1297
464 117 10885
465 117 10749
466 117 10413
467 118 10089
468 118 11535
469 118 8991
470 118 7706
471 119 10061
472 119 10067
473 119 3531
474 119 1113
475 120 12457
476 120 12471
477 120 12582
478 120 8810
479 121 2522
480 121 1395
481 121 12089
482 121 11886
483 122 6873
484 122 7072
485 122 344
486 122 7675
487 123 -1 -0.541429 0.0848477 -0.836454
488 123 7113
489 123 7734
490 123 6955
491 124 6926
492 124 7276
493 124 2052
494 124 11592
495 125 13054
496 125 12949
497 125 12909
498 125 12957
499 126 816
500 126 2143
501 126 735
502 126 2638
503 127 1626
504 127 1378
505 127 11893
506 127 504
507 128 9045
508 128 9179
509 128 3293
510 128 5120
511 129 7367
512 129 12809
513 129 11529
514 129 10646
515 130 2084
516 130 2213
517 130 206
518 130 2103
519 131 393
520 131 9730
521 131 9058
522 131 11098
523 132 3326
524 132 933
525 132 3377
526 132 1312
527 133 1424
528 133 8932
529 133 9916
530 133 10754
531 134 4121
532 134 3994
533 134 3469
534 134 3942
535 135 12946
536 135 13003
