id;spkid;full_name;pdes;name;diameter;q;per;class;horizons;begin_time;end_time;;name_ru
a0000114;2000114;114Kassandra;114;Kassandra;94.178;2.315994365;1601.226047;MBA;DES=+2000114;1998-11-26-16-38-38;2000-01-01-00-00-00;;Кассандра
a0000115;2000115;115Thyra;115;Thyra;79.83;1.920078845;1340.755442;MBA;DES=+2000115;1999-01-30-19-28-02;2000-01-01-00-00-00;;Thyra
a0000116;2000116;116Sirona;116;Sirona;71.7;2.373309251;1680.523806;MBA;DES=+2000116;1998-11-06-20-51-26;2000-01-01-00-00-00;;Сирона
a0000117;2000117;117Lomia;117;Lomia;208.974;2.90769995;1888.747696;MBA;DES=+2000117;1998-09-15-19-30-50;2000-01-01-00-00-00;;Ломия
a0000118;2000118;118Peitho;118;Peitho;40.211;2.035757905;1389.36449;MBA;DES=+2000118;1999-01-18-15-48-47;2000-01-01-00-00-00;;Peitho
a0000119;2000119;119Althaea;119;Althaea;57.3;2.373582026;1514.766221;MBA;DES=+2000119;1998-12-18-07-24-10;2000-01-01-00-00-00;;Althaea
a0000120;2000120;120Lachesis;120;Lachesis;155.132;2.95658812;2012.466188;MBA;DES=+2000120;1998-08-15-21-12-11;2000-01-01-00-00-00;;Лахесис
a0000121;2000121;121Hermione;121;Hermione;209;2.996619686;2342.470978;OMB;DES=+2000121;1998-05-25-09-10-27;2000-01-01-00-00-00;;Hermione
a0000122;2000122;122Gerda;122;Gerda;70.676;3.12249513;2115.126217;OMB;DES=+2000122;1998-07-21-05-14-34;2000-01-01-00-00-00;;Gerda
a0000123;2000123;123Brunhild;123;Brunhild;45.209;2.37018992;1615.890139;MBA;DES=+2000123;1998-11-23-00-39-33;2000-01-01-00-00-00;;Brunhild
a0000124;2000124;124Alkeste;124;Alkeste;88.648;2.432171576;1558.562955;MBA;DES=+2000124;1998-12-07-08-37-21;2000-01-01-00-00-00;;Alkeste
a0000125;2000125;125Liberatrix;125;Liberatrix;48.418;2.530915966;1660.582728;MBA;DES=+2000125;1998-11-11-20-30-14;2000-01-01-00-00-00;;Liberatrix
a0000126;2000126;126Velleda;126;Velleda;44.82;2.178675765;1390.776168;MBA;DES=+2000126;1999-01-18-07-20-34;2000-01-01-00-00-00;;Velleda
a0000127;2000127;127Johanna;127;Johanna;122;2.571128915;1670.656552;MBA;DES=+2000127;1998-11-09-08-03-39;2000-01-01-00-00-00;;Johanna
a0000128;2000128;128Nemesis;128;Nemesis;162.515;2.399531725;1665.598316;MBA;DES=+2000128;1998-11-10-14-24-37;2000-01-01-00-00-00;;Немезида
a0000129;2000129;129Antigone;129;Antigone;113;2.260348003;1774.601243;MBA;DES=+2000129;1998-10-14-08-23-34;2000-01-01-00-00-00;;Антигона
a0000130;2000130;130Elektra;130;Elektra;180.652;2.472738263;2017.957469;MBA;DES=+2000130;1998-08-14-12-15-19;2000-01-01-00-00-00;;Электра
a0000131;2000131;131Vala;131;Vala;31.337;2.267883358;1385.391465;MBA;DES=+2000131;1999-01-19-15-39-04;2000-01-01-00-00-00;;Vala
a0000132;2000132;132Aethra;132;Aethra;42.87;1.591705274;1538.468545;MCA;DES=+2000132;1998-12-12-09-11-20;2000-01-01-00-00-00;;Aethra
a0000133;2000133;133Cyrene;133;Cyrene;72.175;2.648747351;1958.87126;MBA;DES=+2000133;1998-08-29-06-46-21;2000-01-01-00-00-00;;Сирена
a0000134;2000134;134Sophrosyne;134;Sophrosyne;108;2.264013186;1498.504931;MBA;DES=+2000134;1998-12-22-08-58-14;2000-01-01-00-00-00;;Sophrosyne
a0000135;2000135;135Hertha;135;Hertha;79.24;1.925739114;1382.221837;MBA;DES=+2000135;1999-01-20-10-40-08;2000-01-01-00-00-00;;Hertha
a0000136;2000136;136Austria;136;Austria;36.893;2.091509937;1262.727053;MBA;DES=+2000136;1999-02-19-07-38-15;2000-01-01-00-00-00;;Австрия
a0000137;2000137;137Meliboea;137;Meliboea;128.678;2.461857095;2016.182316;MBA;DES=+2000137;1998-08-14-22-54-22;2000-01-01-00-00-00;;Мелибея
a0000138;2000138;138Tolosa;138;Tolosa;52.905;2.049593079;1399.244763;MBA;DES=+2000138;1999-01-16-04-31-53;2000-01-01-00-00-00;;Tolosa
a0000139;2000139;139Juewa;139;Juewa;151.116;2.295831043;1695.03755;MBA;DES=+2000139;1998-11-03-05-46-29;2000-01-01-00-00-00;;Жуйхуа
a0000140;2000140;140Siwa;140;Siwa;109.79;2.148689325;1651.139865;MBA;DES=+2000140;1998-11-14-05-09-39;2000-01-01-00-00-00;;Жива
a0000141;2000141;141Lumen;141;Lumen;117.916;2.091861334;1588.433378;MBA;DES=+2000141;1998-11-29-21-24-00;2000-01-01-00-00-00;;Люмен
a0000142;2000142;142Polana;142;Polana;54.812;2.09182776;1374.122537;MBA;DES=+2000142;1999-01-22-11-15-53;2000-01-01-00-00-00;;Polana
a0000143;2000143;143Adria;143;Adria;95.377;2.554969851;1675.121684;MBA;DES=+2000143;1998-11-08-05-16-12;2000-01-01-00-00-00;;Адрия
a0000144;2000144;144Vibilia;144;Vibilia;142.38;2.032429688;1580.183006;MBA;DES=+2000144;1998-12-01-22-54-08;2000-01-01-00-00-00;;Вибилия
