Name;Type;Type_ru;Detection Method;Mass (Me);Radius (Re);Flux (Se);Tsurf (K);Period (days);Distance (ly);Age (Gy);ESI
Kepler-1606 b;G Warm Superterran;G Тёплая Супертерра;Transit;4.94;2.07;1.636042797;325.3675118;196.435224;2711.292428;4.27;0.700253867
K2-9 b;M Warm Superterran;M Тёплая Супертерра;Transit;5.69;2.25;1.448495717;315.6129575;18.4498;270.5891284;1;0.698768404
GJ 180 c;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;6.4;2.41;0.784488595;270.3400125;24.329;38.94530949;NaN;0.695402746
GJ 163 c;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;6.8;2.5;1.251825187;303.7456203;25.63058;49.34251046;6;0.686806955
Kepler-1540 b;K Warm Superterran;K Тёплая Супертерра;Transit;6.76;2.49;0.776206331;270.0348497;125.4131177;798.9517376;2.51;0.685240143
Kepler-62 f;K Warm Terran;M Тёплая Терра;Transit;35;1.41;0.40714688;229.8070241;267.291;981.3186034;7;0.678714084
Kepler-174 d;K Warm Superterran;K Тёплая Супертерра;Transit;5.43;2.19;0.587249509;251.8437554;247.35373;1254.908041;4.9;0.67845615
TRAPPIST-1 f;M Warm Terran;M Тёплая Терра;Transit;1.039;1.045;0.373530611;224.9048458;9.20754;40.54082811;0.5;0.677112406
HD 40307 g;K Warm Superterran;K Тёплая Супертерра;Radial Velocity;7.1;2.56;0.66645905;255.7196683;197.8;42.19251863;4.5;0.659352804
Teegarden's Star c;M Warm Terran;M Тёплая Терра;Radial Velocity;1.05;1.02;0.349401625;221.1191594;11.416;12.49431882;8;0.659004778
TOI-904 c;M Warm Superterran;M Тёплая Супертерра;Transit;5.34;2.167;0.524433966;244.82075;83.9997;150.322365;1.5;0.658603185
Kepler-296 f;M Warm Superterran;M Тёплая Супертерра;Transit;3.89;1.8;0.439497508;229.2765211;63.33627;544.68052;4.2;0.658499975
LHS 1140 b;M Warm Superterran;M Тёплая Супертерра;Transit;5.6;1.73;0.425225797;232.2361055;24.73723;48.87806432;5;0.657843389
HIP 38594 b;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;8.1;2.77;1.342419006;307.9746662;60.722;58.01858622;NaN;0.652296375
HN Lib b;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;5.46;2.2;0.505381991;242.2818674;36.116;20.3665505;4.4;0.647451493
K2-288 B b;M Warm Superterran;M Тёплая Супертерра;Transit;4.27;1.9;0.436829846;233.885661;31.393463;214.0033455;1;0.646488142
HD 216520 c;K Warm Superterran;K Тёплая Супертерра;Radial Velocity;9.44;3.03;1.276091476;304.9412597;154.43;63.77002112;6;0.633632843
GJ 3293 d;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;7.6;2.67;0.588592698;251.3040314;48.1345;65.85187487;NaN;0.629776603
Kepler-1229 b;M Warm Terran;M Тёплая Терра;Transit;2.54;1.4;0.324356083;217.1106027;86.828989;865.8854719;3.72;0.620494388
Kepler-186 f;M Warm Terran;M Тёплая Терра;Transit;1.71;1.17;0.294700057;211.9045099;129.9441;579.2334866;4;0.610834201
GJ 667 C e;M Warm Terran;M Тёплая Терра;Radial Velocity;2.7;1.45;0.302223109;213.2921445;62.24;23.62661018;2;0.599465844
GJ 1002 c;M Warm Terran;M Тёплая Терра;Radial Velocity;1.36;1.1;0.258159004;205.0677376;21.202;15.81422813;NaN;0.581715253
TRAPPIST-1 g;M Warm Terran;M Тёплая Терра;Transit;1.321;1.129;0.252320551;203.8981685;12.352446;40.54082811;0.5;0.575663821
GJ 357 d;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;6.1;2.34;0.38259533;226.261383;55.661;30.79502982;NaN;0.57551752
GJ 682 b;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;4.4;1.93;0.313483173;215.0089378;17.478;16.32968507;NaN;0.567605826
GJ 229 A c;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;8.58137;2.87;0.437086681;227.7645574;121.93268;18.77432213;0.4;0.560159894
GJ 514 b;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;5.2;2.13;0.270090776;198.9284556;140.43;24.84584654;0.8;0.520100838
