id;hip;hd;hr;gl;bf;proper;ra;dec;dist;pmra;pmdec;rv;mag;absmag;spect;ci;x;y;z;vx;vy;vz;rarad;decrad;pmrarad;pmdecrad;bayer;flam;con;comp;comp_primary;base;lum;var;var_min;var_max;greek_letters;spect_desig;color;linecolor
111526;111879;214599;8619;;;;22.662271;-28.325661;112.4859;94.84;-41.22;-22;6.3;1.045;;1.006;93.006738;-33.972883;-53.372497;-1.09E-05;5.90E-05;-9.11E-06;5.932968705;-0.494376039;4.60E-07;-2.00E-07;;;PsA;1;111526;;33.26595533;;;;;K;#F99220;#F99220
111531;111884;214698;8624;;;;22.663059;19.681125;205.7613;-2.07;-9.71;-11;6.33;-0.237;;0.035;181.994271;-66.43524;69.297305;-7.59E-06;5.70E-07;-1.29E-05;5.933174908;0.343500431;-1.00E-08;-4.71E-08;;41;Peg;1;111531;;108.3427862;;;;;A;#f3e8d3;#f3e8d3
111572;111925;214878;8633;;;;22.671779;53.845927;112.3596;6.41;-18.33;-6;5.94;0.687;;0.946;62.320152;-22.588254;90.722859;5.37E-06;1.77E-06;-1.08E-05;5.935457868;0.939788723;3.11E-08;-8.89E-08;;;Lac;1;111572;;46.25940048;;;;;B;#93C2F1;#93C2F1
111580;111934;214690;8623;;;;22.672866;-30.658871;212.766;-107.65;-209.53;79;5.88;-0.76;;1.297;172.089375;-62.319455;-108.49518;-7.61E-05;-9.05E-05;-0.00022711;5.935742375;-0.535098241;-5.22E-07;-1.02E-06;;;PsA;1;111580;;175.3880502;;;;;K;#F99220;#F99220
111591;111944;214868;8632;;;;22.675233;44.276305;102.0408;94.18;10;-10;4.5;-0.544;;1.318;68.709152;-24.83361;71.236583;5.70E-06;4.75E-05;-3.60E-06;5.936362;0.772767301;4.57E-07;4.85E-08;;11;Lac;1;111591;;143.7474006;;;;;K;#F99220;#F99220
111601;111954;214748;8628;;;;22.677594;-27.043617;149.2537;22.01;-0.88;3;4.18;-1.69;;-0.105;125.047058;-45.108691;-67.860991;7.70E-06;1.42E-05;-1.96E-06;5.936980218;-0.472000156;1.07E-07;-4.27E-09;Eps;18;PsA;1;111601;;413.047502;;;;;B;#93C2F1;#93C2F1
111612;111965;214810;8629;;;;22.679987;-3.554239;34.5662;-11.22;-43.17;12;6.32;3.627;;0.52;32.460179;-11.686506;-2.142883;1.05E-05;-5.77E-06;-7.98E-06;5.937606755;-0.062033173;-5.44E-08;-2.09E-07;;;Aqr;1;111612;;3.084608138;;;;;F;#d4bf94;#d4bf94
111614;111967;214632;8620;;;;22.680247;-57.422322;261.0966;56.62;-6.61;-32;5.98;-1.104;;1.45;132.27724;-47.612762;-220.016003;1.06E-06;7.58E-05;2.31E-05;5.937674818;-1.002208582;2.75E-07;-3.20E-08;;;Tuc;1;111614;;240.7686846;;;;;K;#F99220;#F99220
111621;111974;214850;8631;;;;22.681299;14.549161;33.7952;272.25;123.47;-10;5.72;3.076;;0.723;30.781284;-11.070105;8.48969;1.00E-06;4.70E-05;1.70E-05;5.937950236;0.253930756;1.32E-06;5.99E-07;;;Peg;1;111621;;5.123892387;;;;;G;#FFD423;#FFD423
111676;112029;214923;8634;;;;22.691033;10.831364;62.6566;77.38;-10.98;7;3.41;-0.575;;-0.086;57.962157;-20.678728;11.774377;1.51E-05;1.96E-05;-1.93E-06;5.940498624;0.189042971;3.75E-07;-5.32E-08;Zet;42;Peg;1;111676;;147.9108388;;;;;B;#93C2F1;#93C2F1
111678;112031;214993;8640;;;;22.691292;40.225449;411.5226;-0.75;-5.9;-15;5.25;-2.822;;-0.137;295.939224;-105.55747;265.759923;-4.38E-06;-3.00E-08;-1.89E-05;5.940566336;0.702066524;-3.64E-09;-2.86E-08;;12;Lac;1;111678;;1171.655674;;5.3;5.19;;B;#93C2F1;#93C2F1
111679;112032;214979;8638;;;;22.692029;30.965861;299.4012;48.8;1.14;-35;6.36;-1.021;;1.579;241.823582;-86.20249;154.049917;-5.93E-06;7.73E-05;-1.70E-05;5.940759224;0.540456238;2.37E-07;5.53E-09;;;Peg;1;111679;;223.0488559;;;;;K;#F99220;#F99220
111688;112041;215030;8643;;;;22.69334;41.549123;91.7431;140.88;59.98;-14;5.93;1.117;;0.998;64.681074;-23.03162;60.849623;-5.74E-06;6.86E-05;1.05E-05;5.941102521;0.725169004;6.83E-07;2.91E-07;;;Lac;1;111688;;31.13149665;;;;;G;#FFD423;#FFD423
111698;112051;214994;8641;;;;22.695947;29.307641;91.5751;-2.03;-19.96;9;4.8;-0.009;;-0.013;75.245294;-26.735649;44.825936;1.14E-05;-4.99E-06;-3.22E-06;5.941784973;0.511514825;-9.84E-09;-9.68E-08;Omi;43;Peg;1;111698;;87.82132799;;;;;A;#f3e8d3;#f3e8d3
111713;112067;214995;8642;;;;22.699293;14.516393;84.9618;94.55;-21.21;-26;5.92;1.274;;1.114;77.526476;-27.46971;21.296211;-9.19E-06;4.46E-05;-1.51E-05;5.942660931;0.25335885;4.58E-07;-1.03E-07;;;Peg;1;111713;;26.94014941;;;;;K;#F99220;#F99220
