ID,Node1,Node2,Marker 
0,3,2,1
1,3,4,1
2,1,4,1
3,1,2,1
4,1,3,0
5,4,2,1
6,6,3,1
7,6,1,0
8,2,6,1
9,6,4,1
10,0,6,1
11,0,1,1
12,2,0,1
13,5,0,1
14,5,1,0
15,4,0,1
16,4,5,1
17,5,6,1
