ID Node1 Node2 Node3 Node4
229 5173 5374 5222 5272
230 2581 2429 2632 2688
231 6683 6414 6498 6331
232 5061 5084 5316 5320
233 10681 10617 10713 10884
234 3780 4101 4065 3776
235 6651 6373 6594 6791
236 6172 6268 6158 6353
237 9894 9969 9944 9527
238 6991 6971 6861 6823
239 10725 10760 10664 10971
240 3013 2829 2216 2850
241 9164 8577 8542 9546
242 9849 9765 9686 9418
243 12019 12440 12125 12437
244 9981 9544 9970 9641
245 12930 13448 12222 12568
246 5026 5106 4877 4924
247 9776 9672 9697 9621
248 7157 7254 6891 7132
249 3987 3979 4164 4009
250 715 850 1193 679
251 12678 12640 12753 12400
252 9905 9769 9917 9829
253 9047 9061 9107 9394
254 9003 8959 8820 9199
255 6699 6798 6292 6326
256 3897 2679 3031 3111
257 10049 10309 9948 9698
258 10567 10591 10651 10650
259 148 14227 182 73
260 8612 8770 8429 8408
261 5139 4624 4849 4407
262 153 26 266 91
263 10880 10970 11121 11138
264 5756 5436 5591 5484
265 1323 1453 1484 1465
266 10566 10444 11067 11066
267 8677 8535 8944 8658
268 10808 10729 10777 10795
269 9010 7303 8239 8859
270 4593 4621 4392 4754
271 9617 9577 9559 9266
272 9080 8979 9229 8971
273 8200 8159 8352 8181
274 10243 10107 9968 10153
275 4763 4757 4862 4785
276 5488 5455 4564 4731
277 10569 10631 10652 10417
278 10549 10439 10502 10221
279 9528 9307 9302 9361
280 9107 9343 9325 9075
281 4330 4156 4404 4301
282 3158 2786 3450 3128
283 3849 4077 3968 4000
284 4367 4526 4184 4284
285 9545 9609 9351 9475
286 9157 9404 9738 9410
287 9691 9595 9647 9458
288 6633 6660 6560 6718
289 9635 9853 9797 9570
290 8572 8398 8562 8209
291 10504 10560 10067 10169
292 11510 11849 11764 11756
293 5347 5825 4933 5396
294 5705 5698 5449 5803
295 7755 7722 7919 7683
296 5495 5306 5416 5370
297 3910 3994 3800 3757
298 1735 1746 1337 1596
299 4457 4475 4195 4303
300 4087 4289 4454 4264
301 9610 9689 9532 9573
302 9101 9313 8729 8987
303 6486 6576 6582 6644
304 7512 7046 7207 7373
305 13927 14204 14050 14170
306 4657 4468 4377 4329
307 7889 7869 7761 7838
308 11485 11463 11343 11424
309 9650 9486 9967 9652
310 6509 6440 6736 6642
311 8192 8106 8326 8358
312 9503 9548 9723 9615
313 4544 4388 4803 4675
314 6039 5779 6109 5889
315 238 500 487 547
316 11040 10730 10270 9718
317 9896 9733 9887 9960
318 3485 3669 3684 3693
319 3714 4298 4402 3896
320 4254 4324 4512 4025
321 4757 4683 4763 4517
322 13648 13843 13724 13694
323 4209 4367 3924 3938
324 10465 10814 10356 10618
325 4080 4033 4060 3923
326 8612 8770 8145 8429
327 4633 4339 4758 4745
328 6338 6321 6476 6113
329 7952 8588 7274 7681
330 5732 6221 5794 5725
331 1047 878 869 846
332 5689 5416 5450 5397
333 3699 3816 3930 3821
334 7770 7545 7864 7514
335 4448 4349 4544 4230
336 9955 10088 9864 10075
337 5180 5353 4983 5020
338 6567 6833 6858 6650
339 4214 4816 3151 3230
340 4248 4343 4099 4257
341 3043 3209 2541 2830
342 11973 12047 11765 11835
343 6464 6407 6611 6624
344 12928 12955 12808 12525
345 6737 6620 6326 6149
346 8035 8354 7939 8041
347 3974 4176 4403 3990
348 5075 5495 5416 5362
349 12402 12073 12127 12336
350 8799 9622 9332 8780
351 182 377 200 58
352 13863 13611 13687 13054
353 7114 6994 7146 7145
354 5139 4849 4658 4407
355 3640 3783 3756 3368
356 1648 2304 2253 2147
357 3961 3894 4032 3978
358 10020 10228 10065 10202
359 8496 8804 8930 9410
360 10757 10577 10521 10936
361 3842 3870 3452 3528
362 5514 5592 5290 5332
363 9607 9443 9641 9514
364 1482 1704 1630 1530
365 10494 10382 11004 10379
366 13870 14106 13987 14222
367 4364 4003 4678 4143
368 3976 3886 3758 4014
369 4776 5330 4727 5060
370 4684 4371 4421 4639
371 12853 12827 12796 13061
372 2863 2982 3286 3266
373 4684 4856 4843 4919
374 4324 4291 4109 4254
375 4291 4589 4561 4583
376 2864 2851 2711 2933
377 4289 4087 4086 4264
378 8644 8559 8485 8430
379 2550 2343 2567 2497
380 5839 6315 5815 6709
381 4579 4256 4456 4516
382 6522 6578 6919 6532
383 7180 7006 7176 6382
384 6667 6820 6778 6911
385 8982 8577 8115 8542
386 6930 6981 6959 6865
387 1626 1979 1161 995
388 5169 5326 5252 5537
389 6764 6828 7068 7020
390 11897 12145 11054 11521
391 9957 10106 10373 10001
392 8077 8147 7789 7795
393 2555 2849 2418 2686
394 8453 8637 8428 8574
395 4683 4697 4539 4760
396 2069 1713 2104 1867
397 12868 12838 12729 12314
398 4707 4832 4591 4621
399 10283 10120 10674 10605
400 6585 6646 6685 6851
401 4790 4690 4756 4898
402 6334 6200 6477 6516
403 6727 6913 6649 6555
404 9020 8880 9151 8990
405 5261 5308 5599 5688
406 8516 8976 8482 8474
407 4330 4574 4625 4404
408 6224 6359 6617 5994
409 6567 6703 6350 6598
410 3565 3418 3301 3355
411 4027 4222 4260 4387
412 6322 6181 6317 6392
413 6790 6826 6873 6818
414 8609 8132 8660 8502
415 6460 6568 6884 6447
416 13171 13095 13044 13377
417 5889 5779 5551 5508
418 5140 4926 4786 4880
419 4885 5469 5296 4697
420 12434 12158 12117 12231
421 4544 4778 4555 4718
422 10085 10118 10038 10110
423 8133 8126 8144 8228
424 10713 10617 10333 10613
425 8307 8359 7947 8110
426 12332 12663 12672 12805
427 7581 7702 7940 7811
428 5707 5869 14279 5776
429 9232 8891 8734 8941
430 7373 7746 7743 7688
431 7238 6993 7266 7248
432 7694 7876 8119 8231
433 7793 7802 7730 7603
434 8096 8281 8380 8246
435 5544 5888 5754 5362
436 6115 5532 5396 5766
437 3955 4237 4164 4312
438 22 378 109 145
439 6724 6931 6604 6626
440 11739 11811 11881 11982
441 6465 6464 6340 6220
442 6550 6864 7014 7066
443 8690 8800 8664 8623
444 14016 13578 14195 13723
445 9492 9490 9840 9491
446 9690 9908 9437 9856
447 12147 13456 11415 11517
448 6365 6171 6511 6435
449 7549 7240 7290 7553
450 12210 11990 12187 12131
451 8571 8863 8983 8898
452 8854 8971 8691 8592
453 6499 6496 6736 6746
454 8096 8016 8246 8073
455 5806 5482 5433 5725
456 6473 6686 6484 6397
457 7440 7149 7188 7399
458 9508 9747 9590 9425
459 7553 7634 7795 7582
460 5074 4835 5269 5157
461 10416 9427 9153 10889
462 9061 8880 8790 8801
463 7776 7585 7369 7647
464 9804 9496 9624 9473
465 6828 6763 6713 6656
466 9974 9844 9888 9894
467 12934 12970 12947 13079
468 1879 1353 1564 1743
469 6499 6496 6440 6736
470 7574 7890 7479 7430
471 6278 6099 5606 5678
472 4207 4835 4433 5074
473 6174 6269 6318 6267
474 9287 9273 8927 8815
475 6352 6363 6459 6308
476 6663 6565 6486 6552
477 8121 7932 7318 6572
478 10557 10628 10923 10719
479 9850 10177 10148 10306
480 9159 9195 9238 9150
481 6207 6221 5974 6331
482 5647 5512 5643 5546
483 8242 8504 8548 8070
484 2560 2581 2861 2851
485 6325 6247 6338 6239
486 6487 6473 6353 6509
487 5683 5371 5633 5430
488 8531 8444 8508 8380
489 8105 8664 8296 8502
490 5443 5833 5565 5354
491 4344 4016 3850 4130
492 2294 2629 2845 2476
493 3546 3217 3448 3342
494 6468 6388 6628 6703
495 12206 11684 11608 11947
496 6535 6173 6136 6492
497 10191 10301 10220 10145
498 7692 6749 7475 6978
499 7569 7527 7383 7431
500 5009 5023 5167 5302
501 4757 4840 4607 4708
502 11412 11375 11397 11513
503 7126 8040 7080 7475
504 7497 7720 7447 7485
505 5120 5036 5162 5091
