ID
0 75523 13885 9152 75569
1 7182 50847 46364 50559
2 18468 19628 19494 9710
3 26948 27031 27028 26458
4 103 34894 39363 30060
5 2656 2712 20583 3440
6 3677 32866 34405 34506
7 5273 40345 40441 40067
8 482 40063 39994 43516
9 36126 36149 2484 36041
10 65148 7818 65579 65600
11 2191 28154 28910 22388
12 40451 40367 41144 39806
13 12388 11445 12382 11839
14 28086 34049 34022 27045
15 26688 23606 16764 17023
16 7082 51266 702 51997
17 43992 44077 45978 46096
18 70234 69732 70107 69641
19 16854 2117 16620 42106
20 13376 18489 19266 19309
21 32126 26738 29063 28287
22 36232 36028 36273 36130
23 45091 5631 44953 44954
24 5791 15392 42269 42295
25 2046 1500 12916 9312
26 33455 4416 26880 26514
27 50331 57817 59935 8719
28 2107 2159 1463 16783
29 22700 21514 22676 22974
30 98 836 6498 947
31 61003 683 69567 8696
32 22342 32109 33365 2176
33 15562 8849 15804 15731
34 65705 65841 66466 66318
35 59497 59028 59023 59358
36 40584 3695 40085 6104
37 4455 27644 27743 28131
38 15820 15608 8925 73739
39 12632 77344 77455 77449
40 7630 2021 63259 15728
41 32639 32602 32348 32448
42 34726 34687 6483 34706
43 8244 9540 5647 71412
44 47029 46622 46912 46213
45 45675 45683 45461 6051
46 24498 26348 3604 26722
47 21647 33358 34012 33992
48 42635 42304 5334 15205
49 37931 4651 36876 36848
50 35008 29403 30094 29983
51 52819 66369 53295 66454
52 -1 2487 2344 11251
53 23823 23782 64007 23812
54 22776 23400 23408 23436
55 77978 77526 1280 76955
56 4345 35143 5348 44804
57 14790 9012 16784 13186
58 42807 43174 10554 10459
59 10844 10258 1510 10846
60 33661 33617 4055 32468
61 55427 54969 55321 55099
62 6402 61757 61587 61612
63 62796 15862 6765 15897
64 47255 47339 47341 46777
65 3368 24138 22913 7812
66 75655 75631 13812 75679
67 12572 12483 12707 2336
68 59024 61230 61620 7313
69 14743 14767 17859 13535
70 40784 41073 40776 40790
71 14533 10847 14539 936
72 64690 23401 23405 23123
73 69506 69113 77206 61103
74 20238 11950 12045 12082
75 589 28687 26351 4118
76 51105 50809 51106 50554
77 21397 22742 22840 22508
78 53021 53962 53653 53056
79 55071 54903 55073 6762
80 688 50688 46311 9487
81 48093 48017 47915 48046
82 64444 64012 64743 23375
83 9593 46268 603 46334
84 59404 58945 7255 58091
85 2585 12033 12127 11208
86 13376 19306 4625 10245
87 15032 14997 10670 10518
88 4114 2781 28947 28993
89 27590 3631 27592 27637
90 69715 50285 49527 5776
91 71372 78970 71478 779
92 42814 9691 46240 9666
93 50456 6332 50601 49028
94 42572 40249 42778 42888
95 20574 1515 1487 20500
96 12327 12328 20775 20465
97 19196 20346 20426 185
98 7183 30 6498 59118
99 43349 43351 43329 10152
100 2267 2524 11244 11178
101 11247 10671 9743 11178
102 49774 49615 49628 72717
103 40467 1036 4 44530
104 16396 3140 24869 24784
105 79202 77907 -1 77506
106 63803 63804 55399 279
107 6613 48397 55255 55206
108 53430 53446 57972 52203
109 64787 7272 64822 22954
110 40989 41099 41473 39056
111 48947 45938 48929 48911
112 77505 6376 69146 77908
113 17714 17700 38178 17694
114 13528 17206 18084 12851
115 76234 62106 62046 75773
116 13306 161 13369 13327
117 76181 76179 9452 76095
118 10115 10013 9889 9963
119 32118 32077 31297 23500
120 68373 21363 21197 68314
121 29013 29012 29006 26567
122 736 22014 22030 4165
123 11304 13873 14021 2307
124 2599 21380 21360 21423
125 1991 15973 2967 8722
126 12631 9350 11080 12421
127 53938 53968 53944 51268
128 2467 27325 19286 12226
129 75058 498 13950 1683
130 3352 17375 17377 1190
131 70573 60965 70553 1407
132 13780 16427 15707 15945
133 13491 13975 14023 14036
134 1158 43783 43737 43675
135 16454 16965 17002 1994
136 7605 61524 70797 70750
137 18255 9941 10119 10124
138 57197 51376 48909 57199
139 71756 70073 72042 71669
140 207 12901 13177 12654
141 26311 24551 26230 2047
142 26182 18621 17261 920
143 57548 7390 8768 56838
144 6371 49095 49077 50516
145 10194 10196 10164 9971
146 69447 70327 69298 69365
147 12402 11848 12354 12199
148 45797 46085 43943 10425
149 66164 7545 60529 3082
150 67569 541 66558 21789
151 38064 42195 42253 42190
152 47638 47254 4848 41799
153 5930 16724 1093 16411
154 10490 10920 1148 11053
155 16038 2914 16041 16094
156 11721 13969 13988 1053
157 67799 59363 58996 69200
158 24536 24535 13060 24400
159 4229 21644 4226 34283
160 2252 16992 3770 4713
161 116 13121 13373 9292
162 1434 12067 11145 11470
163 10057 10948 18325 10132
164 14414 14373 14092 14006
