ID,Node1,Node2,X,Y,Z
317,79,54903,,,
318,79,55073,,,
319,79,6762,,,
320,80,688,,,
321,80,50688,,,
322,80,46311,,,
323,80,9487,,,
324,81,48093,,,
325,81,48017,,,
326,81,47915,,,
327,81,48046,,,
328,82,64444,,,
329,82,64012,,,
330,82,64743,,,
331,82,23375,,,
332,83,9593,,,
333,83,46268,,,
334,83,603,,,
335,83,46334,,,
336,84,59404,,,
337,84,58945,,,
338,84,7255,,,
339,84,58091,,,
340,85,2585,,,
341,85,12033,,,
342,85,12127,,,
343,85,11208,,,
344,86,13376,,,
345,86,19306,,,
346,86,4625,,,
347,86,10245,,,
348,87,15032,,,
349,87,14997,,,
350,87,10670,,,
351,87,10518,,,
352,88,4114,,,
353,88,2781,,,
354,88,28947,,,
355,88,28993,,,
356,89,27590,,,
357,89,3631,,,
358,89,27592,,,
359,89,27637,,,
360,90,69715,,,
361,90,50285,,,
362,90,49527,,,
363,90,5776,,,
364,91,71372,,,
365,91,78970,,,
366,91,71478,,,
367,91,779,,,
368,92,42814,,,
369,92,9691,,,
370,92,46240,,,
371,92,9666,,,
372,93,50456,,,
373,93,6332,,,
374,93,50601,,,
375,93,49028,,,
376,94,42572,,,
377,94,40249,,,
378,94,42778,,,
379,94,42888,,,
380,95,20574,,,
381,95,1515,,,
382,95,1487,,,
383,95,20500,,,
384,96,12327,,,
385,96,12328,,,
386,96,20775,,,
387,96,20465,,,
388,97,19196,,,
389,97,20346,,,
390,97,20426,,,
391,97,185,,,
392,98,7183,,,
393,98,6498,,,
394,98,59118,,,
395,99,43349,,,
396,99,43351,,,
397,99,43329,,,
398,99,10152,,,
399,100,2267,,,
400,100,2524,,,
401,100,11244,,,
402,100,11178,,,
403,101,11247,,,
404,101,10671,,,
405,101,9743,,,
406,101,11178,,,
407,102,49774,,,
408,102,49615,,,
409,102,49628,,,
410,102,72717,,,
411,103,40467,,,
412,103,1036,,,
413,103,44530,,,
414,104,16396,,,
415,104,3140,,,
416,104,24869,,,
417,104,24784,,,
418,105,79202,,,
419,105,77907,,,
420,105,-1,-0.481054,0.563924,0.671251
421,105,77506,,,
422,106,63803,,,
423,106,63804,,,
424,106,55399,,,
425,106,279,,,
426,107,6613,,,
427,107,48397,,,
428,107,55255,,,
429,107,55206,,,
430,108,53430,,,
431,108,53446,,,
432,108,57972,,,
433,108,52203,,,
434,109,64787,,,
435,109,7272,,,
436,109,64822,,,
437,109,22954,,,
438,110,40989,,,
439,110,41099,,,
440,110,41473,,,
441,110,39056,,,
442,111,48947,,,
443,111,45938,,,
444,111,48929,,,
445,111,48911,,,
446,112,77505,,,
447,112,6376,,,
448,112,69146,,,
449,112,77908,,,
450,113,17714,,,
451,113,17700,,,
452,113,38178,,,
453,113,17694,,,
454,114,13528,,,
455,114,17206,,,
456,114,18084,,,
457,114,12851,,,
458,115,76234,,,
459,115,62106,,,
460,115,62046,,,
461,115,75773,,,
462,116,13306,,,
463,116,161,,,
464,116,13369,,,
465,116,13327,,,
466,117,76181,,,
467,117,76179,,,
468,117,9452,,,
469,117,76095,,,
470,118,10115,,,
471,118,10013,,,
472,118,9889,,,
473,118,9963,,,
474,119,32118,,,
475,119,32077,,,
476,119,31297,,,
477,119,23500,,,
478,120,68373,,,
479,120,21363,,,
480,120,21197,,,
481,120,68314,,,
482,121,29013,,,
483,121,29012,,,
484,121,29006,,,
485,121,26567,,,
486,122,736,,,
487,122,22014,,,
488,122,22030,,,
489,122,4165,,,
490,123,11304,,,
491,123,13873,,,
492,123,14021,,,
493,123,2307,,,
494,124,2599,,,
