   20 Massalia           E. Bowell        6.50  0.25 0.81 145.5 S       0   0   0   0   0   0 52296 1043 20000226  73.516839 255.584145 206.601828  0.705733 0.14241971   2.40941781 20000118 3.2E-02  1.9E-04 20000121 4.9E-02 20000413 6.3E-02 20070130 6.3E-02 20070130
   21 Lutetia            E. Bowell        7.35  0.11 0.70  95.8 M       0   0   0   0   0   0 48666  722 20000226 328.800319 250.127264  80.947035  3.066091 0.16168474   2.43561876 19990827 2.5E-02  3.5E-05 20000121 7.6E-02 20001006 7.6E-02 20001006 7.6E-02 20001006
   22 Kalliope           E. Bowell        6.45  0.21 0.69 181.0 M       0   0   0   0   0   0 52549  991 20000226 245.113009 357.300311  66.324331 13.723419 0.10144845   2.90823595 19990827 2.3E-02  2.4E-05 20000121 4.9E-02 20000823 5.2E-02 20050826 5.1E-02 20050826
   23 Thalia             E. Bowell        6.95  0.15 0.85 107.5 S       0   0   0   0   0   0 48778  653 20000226 156.150385  59.407010  67.264093 10.149646 0.23335462   2.62695642 19990908 2.4E-02  3.0E-05 20000121 4.7E-02 20000801 7.3E-02 20070225 7.3E-02 20070225
   24 Themis             E. Bowell        7.08  0.19 0.68               0   0   0   0   0   0 53506  697 20000226 188.693123 109.082695  36.065760  0.761665 0.13434375   3.12601460 19991130 3.3E-02 -5.6E-05 20000121 6.0E-02 20001009 8.0E-02 20011230 8.0E-02 20011230
   25 Phocaea            E. Bowell        7.83  0.15 0.94  75.1 S       0   0   0   0   0   0 49544 1028 20000226 116.781880  90.374569 214.308271 21.579028 0.25630959   2.39973618 19991202 3.7E-02 -2.3E-04 20000121 4.3E-02 20010216 7.2E-02 20020630 7.2E-02 20020630
   26 Proserpina         E. Bowell        7.5   0.15 0.88  95.1 S       0   0   0   0   0   0 50692  208 20000226 311.168291 193.807739  45.952404  3.562061 0.08838369   2.65592967 19991130 1.1E-01  6.7E-04 20000121 1.6E-01 20000409 1.9E-01 20090528 1.9E-01 20090528
   27 Euterpe            E. Bowell        7.0   0.15 0.87               0   0   0   0   0   9 53228 1172 20000226 216.066726 356.696168  94.813920  1.583824 0.17187958   2.34654011 19990908 2.0E-02 -4.2E-06 20000121 4.3E-02 20000906 6.3E-02 20090206 6.3E-02 20090206
   28 Bellona            E. Bowell        7.09  0.15 0.85 120.9 S       0   0   0   0   0  10 49886  806 20000226 224.200318 342.811661 144.603949  9.399367 0.15011209   2.77634065 19991120 2.4E-02 -3.9E-05 20000121 5.4E-02 20001031 6.4E-02 20051214 6.4E-02 20051214
   29 Amphitrite         E. Bowell        5.85  0.20 0.83 212.2 S       0   0   0   0   0  10 52731 1094 20000226  35.997718  61.989225 356.564539  6.102745 0.07213305   2.55405084 19991220 4.1E-02 -2.8E-04 20000121 4.6E-02 20010408 5.3E-02 20071116 5.3E-02 20071116
   30 Urania             E. Bowell        7.57  0.15 0.87  99.7 S       0   0   0   0   0   0 50927  735 20000226 293.356725  86.605090 307.980288  2.097334 0.12689943   2.36515420 19990908 2.6E-02 -1.9E-05 20000121 7.8E-02 20001028 7.8E-02 20001028 7.7E-02 20001028
   31 Euphrosyne         E. Bowell        6.74  0.15 0.67 255.9         0   0   0   0   0   0 49906  586 20000226 293.202589  62.300503  31.292625 26.344703 0.22777762   3.14680997 19990827 4.0E-02 -1.1E-04 20000121 6.0E-02 20001030 7.6E-02 20061212 7.6E-02 20061213
   32 Pomona             E. Bowell        7.56  0.15 0.86  80.8 S       0   0   0   0   0   9 49664  256 20000226 175.575239 338.280862 220.634546  5.532376 0.08329313   2.58760204 20000118 6.9E-02 -2.0E-04 20000121 1.3E-01 20001205 1.7E-01 20020408 1.7E-01 20020408
   33 Polyhymnia         E. Bowell        8.55  0.33 0.86               0   0   0   0   0   0 43639  255 20000226   0.854067 338.470082   8.797896  1.870088 0.33486614   2.86934483 19990822 7.4E-02  8.0E-05 20000121 2.0E-01 20001124 2.0E-01 20001124 2.0E-01 20001124
   34 Circe              E. Bowell        8.51  0.15 0.70 113.5 C       0   0   0   0   0   0 49538  548 20000226   0.247217 330.509727 184.565575  5.500908 0.10740827   2.68572086 19991220 6.6E-02  4.1E-04 20000121 7.5E-02 20000225 7.5E-02 20090322 7.5E-02 20090322
   35 Leukothea          E. Bowell        8.5   0.15 0.70 103.1 C       0   0   0   0   0   0 51038  518 20000226 320.740876 214.303309 353.869172  7.938878 0.22714230   2.99121016 19991220 7.0E-02  4.9E-04 20000121 9.6E-02 20000322 9.7E-02 20050225 9.6E-02 20050225
   36 Atalante           E. Bowell        8.46  0.15 0.73 105.6         0   0   0   0   0   0 48710  126 20000226 225.660089  47.295898 358.530395 18.417176 0.30245555   2.74897520 19990822 9.9E-02  3.1E-04 20000121 1.9E-01 20000628 3.4E-01 20011120 3.4E-01 20011120
   37 Fides              E. Bowell        7.29  0.24 0.84 108.3 S       0   0   0   0   0   0 52500  650 20000226 175.020960  62.947052   7.476238  3.072314 0.17568400   2.64240855 19990827 3.5E-02  1.0E-04 20000121 6.5E-02 20000621 7.5E-02 20070124 7.5E-02 20070124
   38 Leda               E. Bowell        8.32  0.15 0.72 115.9 C       0   0   0   0   0   0 52568  445 20000226 285.151340 168.409632 296.035862  6.951058 0.15322077   2.74150767 20000118 3.1E-02 -7.2E-05 20000121 8.5E-02 20001223 9.4E-02 20060226 9.3E-02 20060226
   39 Laetitia           E. Bowell        6.1   0.15 0.89 149.5 S       0   0   0   0   0   0 49494 3590 20000226 244.611534 208.534449 157.240426 10.368442 0.11153561   2.76985560 19991005 1.5E-02  4.9E-05 20000121 2.9E-02 20000614 3.7E-02 20011014 3.7E-02 20011014
