CENTRE                        12 28 45.000  +44 00 00.00
*PPM 052974    +47.5  +73.3   12 25 06.952  +44 47 55.79
*PPM 052987    +41.2  -62.1   12 25 59.995  +43 07 05.93
*PPM 052990    +29.9  +65.2   12 26 22.451  +44 42 39.02
*PPM 053019     -4.8  -72.7   12 29 09.766  +43 00 54.07
*PPM 053028    -33.0  +21.0   12 30 52.966  +44 11 19.19
*PPM 053029    -31.2  -62.0   12 30 53.525  +43 09 30.08
*PPM 053050    -51.2  -59.7   12 32 17.476  +43 11 57.76
*PPM 053051    -55.7  +60.6   12 32 21.122  +44 40 54.24
BRADFIELD      +29.2  -42.1
