exoplanet_name,distance_ly,star_brightness,planet_type,discovery_year,mass_multiplier,mass_unit,radius_multiplier,radius_unit,orbit_radius_au,orbit_period_days,eccentricity,detection_method,mass_earth_multiplier,radius_earth_multiplier,mass_earth_kg,radius_earth_m,exoplanet_volume_m3,exoplanet_density_kg_m3
Kepler-620 b,4421.0,14.844,Neptune-like,2016,11.0,Earth,0.296,Jupiter,0.1053,0.035318274,0.0,Transit,11.0,3.3178639999999997,6.5692e+25,21138111.544,3.9562813176420785e+22,1660.4481513248927
Kepler-621 b,1269.0,15.22,Neptune-like,2016,5.9,Earth,0.205,Jupiter,0.031,0.007118412,0.0,Transit,5.9,2.2978449999999997,3.5234800000000006e+25,14639570.494999997,1.3142367742382605e+22,2681.00852834698
Kepler-622 b,929.0,15.052,Neptune-like,2016,5.18,Earth,2.13,Earth,0.0978,0.039151266,0.0,Transit,5.18,2.13,3.093496e+25,13570230.0,1.0467675112009873e+22,2955.2846901512453
Kepler-623 b,2406.0,15.028,Neptune-like,2016,9.32,Earth,0.269,Jupiter,0.0854,0.024914443,0.0,Transit,9.32,3.015221,5.565904e+25,19209972.991,2.9694011476741366e+22,1874.4196971701328
Kepler-624 b,2441.0,13.637,Neptune-like,2016,5.95,Earth,0.206,Jupiter,0.1172,0.039972622,0.0,Transit,5.95,2.3090539999999997,3.5533400000000004e+25,14710983.033999998,1.3335634782808625e+22,2664.545076309918
Kepler-625 b,2481.0,13.395,Super earth,2016,4.62,Earth,1.99,Earth,0.0768,0.021355236,0.0,Transit,4.62,1.99,2.759064e+25,12678290.0,8.536319345687729e+21,3232.147121339585
Kepler-625 c,2481.0,13.395,Super earth,2016,1.16,Earth,1.05,Earth,0.0508,0.011498973,0.0,Transit,1.16,1.05,6.92752e+24,6689550.0,1.2539474071135655e+21,5524.569819037553
Kepler-626 b,2073.0,14.086,Neptune-like,2016,5.86,Earth,0.204,Jupiter,0.115,0.039698835,0.0,Transit,5.86,2.2866359999999997,3.4995920000000003e+25,14568157.955999998,1.295097706617918e+22,2702.1837673846303
Kepler-627 b,3211.0,14.181,Neptune-like,2016,13.4,Earth,0.333,Jupiter,0.2327,0.111430526,0.0,Transit,13.4,3.732597,8.00248e+25,23780375.487,5.6330646104708496e+22,1420.6263470020983
Kepler-628 b,2929.0,13.138,Gas giant,2016,0.168,Jupiter,0.749,Jupiter,0.1241,0.042436685,0.0,Transit,53.39040000000001,8.395541,3.188474688e+26,53487991.710999995,6.409991965220987e+23,497.4225717130172
Kepler-629 b,1214.0,13.481,Super earth,2016,2.48,Earth,1.38,Earth,0.0712,0.019712524,0.0,Transit,2.48,1.38,1.481056e+25,8791980.0,2.846745768368653e+21,5202.6282657784695
Kepler-62 b,981.0,13.965,Super earth,2013,9.0,Earth,1.31,Earth,0.0553,0.015605749,0.0,Transit,9.0,1.31,5.3748000000000005e+25,8346010.0,2.435147720898687e+21,22071.761617880165
Kepler-62 c,981.0,13.965,Terrestrial,2013,4.0,Earth,0.54,Earth,0.0929,0.03394935,0.0,Transit,4.0,0.54,2.3888e+25,3440340.0,1.7056609395419975e+20,140051.28127290285
Kepler-62 d,981.0,13.965,Neptune-like,2013,14.0,Earth,1.95,Earth,0.12,0.049828887,0.0,Transit,14.0,1.95,8.3608e+25,12423450.0,8.031843887546657e+21,10409.564873345444
Kepler-62 e,981.0,13.965,Super earth,2013,36.0,Earth,1.61,Earth,0.427,0.33511293,0.0,Transit,36.0,1.61,2.1499200000000002e+26,10257310.0,4.520526845140963e+21,47559.058349822924
Kepler-62 f,981.0,13.965,Super earth,2013,35.0,Earth,1.41,Earth,0.718,0.7318275,0.0,Transit,35.0,1.41,2.0902e+26,8983110.0,3.03646837664727e+21,68836.54761812153
Kepler-630 b,2739.0,14.001,Neptune-like,2016,10.2,Earth,0.284,Jupiter,0.5729,0.4421629,0.0,Transit,10.2,3.1833559999999994,6.09144e+25,20281161.075999998,3.494355227426296e+22,1743.2228847799597
Kepler-631 b,2486.0,13.563,Neptune-like,2016,8.75,Earth,0.259,Jupiter,0.1447,0.049281314,0.0,Transit,8.75,2.903131,5.2255e+25,18495847.601,2.6503993983422517e+22,1971.5896416473681
Kepler-632 b,1138.0,13.442,Neptune-like,2016,5.52,Earth,2.21,Earth,0.1885,0.08487337,0.0,Transit,5.52,2.21,3.296544e+25,14079910.0,1.1691984894671622e+22,2819.4904712050484
Kepler-633 b,2220.0,13.812,Super earth,2016,3.29,Earth,1.63,Earth,0.0815,0.023271732,0.0,Transit,3.29,1.63,1.964788e+25,10384730.0,4.6910951055089965e+21,4188.335464980549
Kepler-633 c,2220.0,13.812,Neptune-like,2021,5.89,Earth,0.205,Jupiter,0.1618,0.06516085,0.0,Transit,5.89,2.2978449999999997,3.517508e+25,14639570.494999997,1.3142367742382605e+22,2676.4644460955437
Kepler-634 b,2897.0,13.626,Super earth,2016,4.23,Earth,1.89,Earth,0.0578,0.014236824,0.0,Transit,4.23,1.89,2.5261560000000005e+25,12041190.0,7.313021278286314e+21,3454.326062882677
Kepler-635 b,3722.0,13.36,Neptune-like,2016,7.46,Earth,0.236,Jupiter,0.1764,0.06406571,0.0,Transit,7.46,2.6453239999999996,4.455112e+25,16853359.203999996,2.0051554220283395e+22,2221.828767514379
Kepler-636 b,1012.0,13.906,Neptune-like,2016,18.1,Earth,0.397,Jupiter,0.1185,0.044079397,0.0,Transit,18.1,4.449973,1.0809320000000001e+26,28350777.983,9.54516746641685e+22,1132.4390104239521
Kepler-637 b,2564.0,13.5,Neptune-like,2016,20.2,Earth,0.424,Jupiter,0.1867,0.06351814,0.0,Transit,20.2,4.752616,1.206344e+26,30278916.536,1.1628122593461388e+23,1037.436602773985
Kepler-638 b,3233.0,13.658,Super earth,2016,4.01,Earth,1.83,Earth,0.0632,0.01670089,0.0,Transit,4.01,1.83,2.394772e+25,11658930.0,6.638419508199281e+21,3607.443002121448
Kepler-639 b,2773.0,13.358,Neptune-like,2016,6.26,Earth,0.212,Jupiter,0.0966,0.027926078,0.0,Transit,6.26,2.376308,3.738472e+25,15139458.268,1.4535153241826735e+22,2572.021042916889
Kepler-63 b,633.0,12.02,Gas giant,2013,0.378,Jupiter,0.545,Jupiter,0.08,0.025735795,0.45,Transit,120.1284,6.108905,7.174068048e+26,38919833.755,2.469457401234749e+23,2905.11917493005
Kepler-640 b,1820.0,13.885,Neptune-like,2016,7.08,Earth,0.228,Jupiter,0.1566,0.06078029,0.0,Transit,7.08,2.555652,4.2281760000000005e+25,16282058.891999999,1.8080755484820477e+22,2338.495204777104
Kepler-641 b,3164.0,13.807,Super earth,2016,4.08,Earth,1.85,Earth,0.0879,0.026009582,0.0,Transit,4.08,1.85,2.4365760000000002e+25,11786350.0,6.858459994873495e+21,3552.657596342724
Kepler-642 b,2550.0,13.335,Neptune-like,2016,8.75,Earth,0.259,Jupiter,0.0589,0.012046544,0.0,Transit,8.75,2.903131,5.2255e+25,18495847.601,2.6503993983422517e+22,1971.5896416473681
Kepler-643 b,3469.0,13.988,Gas giant,2016,1.01,Jupiter,0.906,Jupiter,0.126,0.044626966,0.37,Transit,320.978,10.155353999999999,1.916880616e+27,64699760.33399999,1.1344794280729358e+24,1689.656567202877
Kepler-644 b,4299.0,14.031,Neptune-like,2016,10.1,Earth,0.281,Jupiter,0.0466,0.008761123,0.0,Transit,10.1,3.1497290000000002,6.03172e+25,20066923.459000003,3.384784252173508e+22,1782.0101816317501
Kepler-645 b,3828.0,13.944,Neptune-like,2016,5.06,Earth,2.1,Earth,0.049,0.009034907,0.0,Transit,5.06,2.1,3.021832e+25,13379100.0,1.0031579256908524e+22,3012.3193194321143
Kepler-646 b,1474.0,14.026,Super earth,2016,4.62,Earth,1.99,Earth,0.1149,0.043531828,0.0,Transit,4.62,1.99,2.759064e+25,12678290.0,8.536319345687729e+21,3232.147121339585
Kepler-647 b,3549.0,14.067,Super earth,2016,1.71,Earth,1.17,Earth,0.1222,0.044353183,0.0,Transit,1.71,1.17,1.021212e+25,7454070.0,1.7348782797100781e+21,5886.361089094149
