exoplanet_name,distance_ly,star_brightness,planet_type,discovery_year,mass_multiplier,mass_unit,radius_multiplier,radius_unit,orbit_radius_au,orbit_period_days,eccentricity,detection_method,mass_earth_multiplier,radius_earth_multiplier,mass_earth_kg,radius_earth_m,exoplanet_volume_m3,exoplanet_density_kg_m3
11 Comae Berenices b,304.0,4.72307,Gas giant,2007,19.4,Jupiter,1.08,Jupiter,1.29,0.8925394,0.23,Radial velocity,6165.32,12.10572,3.681929104e+28,77125542.12,1.9216898598096125e+24,19159.85082194678
11 Ursae Minoris b,409.0,5.013,Gas giant,2009,14.74,Jupiter,1.09,Jupiter,1.53,1.4,0.08,Radial velocity,4684.372,12.21781,2.7975069584000005e+28,77839667.51,1.9755659209877993e+24,14160.534602668302
14 Andromedae b,246.0,5.23133,Gas giant,2008,4.8,Jupiter,1.15,Jupiter,0.83,0.5086927,0.0,Radial velocity,1525.44,12.890349999999998,9.109927680000001e+27,82124419.85,2.3200938512437312e+24,3926.5341249520784
14 Herculis b,58.0,6.61935,Gas giant,2002,8.13881,Jupiter,1.12,Jupiter,2.773069,4.8,0.37,Radial velocity,2586.513818,12.55408,1.5446660521096001e+28,79982043.68,2.1432167760270598e+24,7207.231995323358
16 Cygni B b,69.0,6.215,Gas giant,1996,1.78,Jupiter,1.2,Jupiter,1.66,2.2,0.68,Radial velocity,565.6840000000001,13.4508,3.378264848000001e+27,85695046.8,2.636062907832115e+24,1281.5569909059072
17 Scorpii b,408.0,5.22606,Gas giant,2020,4.32,Jupiter,1.15,Jupiter,1.45,1.6,0.06,Radial velocity,1372.8960000000002,12.890349999999998,8.198934912000002e+27,82124419.85,2.3200938512437312e+24,3533.8807124568707
18 Delphini b,249.0,5.51048,Gas giant,2008,10.3,Jupiter,1.11,Jupiter,2.6,2.7,0.08,Radial velocity,3273.34,12.44199,1.9548386480000002e+28,79267918.29,2.0863202261003151e+24,9369.791959760289
1RXS J160929.1-210524 b,454.0,12.618,Gas giant,2008,8.0,Jupiter,1.664,Jupiter,330.0,6505.9,0.0,Direct imaging,2542.4,18.651775999999998,1.5183212800000001e+28,118830464.89599998,7.028651298976387e+24,2160.188655569127
24 Bootis b,313.0,5.59,Gas giant,2018,0.91,Jupiter,1.24,Jupiter,0.19,0.08323066,0.04,Radial velocity,289.19800000000004,13.89916,1.7270904560000004e+27,88551548.36,2.9085537069343164e+24,593.7969967281073
24 Sextantis b,235.0,6.4535,Gas giant,2010,1.99,Jupiter,1.19,Jupiter,1.333,1.2396988,0.09,Radial velocity,632.422,13.338709999999999,3.7768241840000005e+27,84980921.41,2.5707089894094093e+24,1469.1760909381198
24 Sextantis c,235.0,6.4535,Gas giant,2010,0.86,Jupiter,1.24,Jupiter,2.08,2.4,0.29,Radial velocity,273.308,13.89916,1.632195376e+27,88551548.36,2.9085537069343164e+24,561.1707881166726
2M0437 b,419.0,16.186,Gas giant,2021,4.0,Jupiter,1.16,Jupiter,118.0,3110.6,0.0,Direct imaging,1271.2,13.002439999999998,7.591606400000001e+27,82838545.24,2.3811458614487947e+24,3188.2156078338394
2MASS J01033563-5515561 AB b,154.0,15.788,Gas giant,2013,13.0,Jupiter,1.1,Jupiter,84.0,1767.2,0.0,Direct imaging,4131.400000000001,12.3299,2.4672720800000005e+28,78553792.9,2.030439658752631e+24,12151.417892988411
2MASS J01225093-2439505 b,110.0,14.244,Gas giant,2013,24.5,Jupiter,1.0,Jupiter,52.0,593.2,0.0,Direct imaging,7786.1,11.209,4.64985892e+28,71412539.0,1.5254993679584e+24,30480.89706010813
2MASS J02192210-3925225 b,131.0,,Gas giant,2015,13.9,Jupiter,1.44,Jupiter,156.0,5878.1,0.0,Direct imaging,4417.42,16.14096,2.638083224e+28,102834056.16,4.555116704733895e+24,5791.472304668678
2MASS J04414489+2301513 b,393.0,,Gas giant,2010,7.5,Jupiter,1.13,Jupiter,15.0,411.0,0.0,Direct imaging,2383.5,12.66617,1.4234262e+28,80696169.07,2.201138461529071e+24,6466.772649146227
2MASS J12073346-3932539 b,210.0,20.15,Gas giant,2004,5.0,Jupiter,1.15,Jupiter,55.0,2885.9,0.0,Direct imaging,1589.0,12.890349999999998,9.489508e+27,82124419.85,2.3200938512437312e+24,4090.139713491748
2MASS J19383260+4603591 b,1293.0,12.651,Gas giant,2015,1.9,Jupiter,1.2,Jupiter,0.92,1.1115674,0.33,Eclipse timing variations,603.82,13.4508,3.6060130400000007e+27,85695046.8,2.636062907832115e+24,1367.9540914164177
2MASS J22362452+4751425 b,227.0,12.368,Gas giant,2016,12.5,Jupiter,1.1,Jupiter,230.0,4505.7,0.0,Direct imaging,3972.5,12.3299,2.3723770000000002e+28,78553792.9,2.030439658752631e+24,11684.055666335009
30 Arietis B b,146.0,7.09209,Gas giant,2009,13.82,Jupiter,1.1,Jupiter,0.99,0.9174538,0.29,Radial velocity,4391.996,12.3299,2.6229000112000003e+28,78553792.9,2.030439658752631e+24,12917.891944699986
42 Draconis b,296.0,4.8262,Gas giant,2008,3.88,Jupiter,1.16,Jupiter,1.19,1.3117043,0.38,Radial velocity,1233.064,13.002439999999998,7.363858208000001e+27,82838545.24,2.3811458614487947e+24,3092.5691395988247
47 Ursae Majoris b,45.0,5.03352,Gas giant,1996,2.53,Jupiter,1.18,Jupiter,2.1,3.0,0.03,Radial velocity,804.034,13.226619999999999,4.8016910480000003e+27,84266796.02,2.5064442775354255e+24,1915.7381997422578
47 Ursae Majoris c,45.0,5.03352,Gas giant,2001,0.54,Jupiter,1.27,Jupiter,3.6,6.6,0.1,Radial velocity,171.61200000000002,14.23543,1.0248668640000002e+27,90693924.53,3.1248069718367317e+24,327.9776553358089
47 Ursae Majoris d,45.0,5.03352,Gas giant,2009,1.64,Jupiter,1.2,Jupiter,11.6,38.4,0.16,Radial velocity,521.192,13.4508,3.112558624e+27,85695046.8,2.636062907832115e+24,1180.7603736436447
4 Ursae Majoris b,240.0,4.5801,Gas giant,2006,7.1,Jupiter,1.13,Jupiter,0.87,0.7373032,0.43,Radial velocity,2256.38,12.66617,1.347510136e+28,80696169.07,2.201138461529071e+24,6121.878107858428
51 Eridani b,97.0,5.21149,Gas giant,2015,2.0,Jupiter,1.19,Jupiter,13.2,32.0,0.45,Direct imaging,635.6,13.338709999999999,3.7958032000000004e+27,84980921.41,2.5707089894094093e+24,1476.5588853649444
51 Pegasi b,50.0,5.45309,Gas giant,1995,0.46,Jupiter,1.27,Jupiter,0.0527,0.011498973,0.01,Radial velocity,146.18800000000002,14.23543,8.730347360000001e+26,90693924.53,3.1248069718367317e+24,279.38837306383715
55 Cancri b,41.0,5.95084,Gas giant,1996,0.8306,Jupiter,1.24,Jupiter,0.1134,0.040246405,0.0,Radial velocity,263.96468,13.89916,1.57639706896e+27,88551548.36,2.9085537069343164e+24,541.9865774531493
55 Cancri c,41.0,5.95084,Gas giant,2004,0.1714,Jupiter,0.76,Jupiter,0.2373,0.12156058,0.03,Radial velocity,54.47092,8.518839999999999,3.2530033424e+26,54273529.63999999,6.696576105489063e+23,485.7711300754981
55 Cancri d,41.0,5.95084,Gas giant,2002,3.878,Jupiter,1.16,Jupiter,5.957,15.3,0.13,Radial velocity,1232.4284,13.002439999999998,7.3600624048e+27,82838545.24,2.3811458614487947e+24,3090.9750317949074
55 Cancri e,41.0,5.95084,Super earth,2004,7.99,Earth,1.875,Earth,0.01544,0.0019164955,0.05,Radial velocity,7.99,1.875,4.771628000000001e+25,11945625.0,7.140279969442223e+21,6682.690343264993
55 Cancri f,41.0,5.95084,Gas giant,2007,0.141,Jupiter,0.677,Jupiter,0.7708,0.7115674,0.08,Radial velocity,44.809799999999996,7.588493000000001,2.676041256e+26,48346288.903000005,4.733452660761129e+23,565.3465763339225
61 Virginis b,28.0,4.6955,Neptune-like,2009,5.1,Earth,2.11,Earth,0.050201,0.011498973,0.12,Radial velocity,5.1,2.11,3.04572e+25,13442810.0,1.0175571035571748e+22,2993.168628426627
61 Virginis c,28.0,4.6955,Neptune-like,2009,18.2,Earth,0.398,Jupiter,0.2175,0.10403833,0.14,Radial velocity,18.2,4.461182,1.086904e+26,28422190.522,9.617479034906881e+22,1130.1339946310823
61 Virginis d,28.0,4.6955,Neptune-like,2009,22.9,Earth,0.456,Jupiter,0.476,0.33675563,0.35,Radial velocity,22.9,5.111304,1.367588e+26,32564117.783999998,1.4464604387856382e+23,945.472107863624
6 Lyncis b,178.0,5.87307,Gas giant,2008,2.01,Jupiter,1.19,Jupiter,2.11,2.6,0.07,Radial velocity,638.7779999999999,13.338709999999999,3.8147822159999997e+27,84980921.41,2.5707089894094093e+24,1483.941679791769
70 Virginis b,58.0,4.96808,Gas giant,1996,7.49,Jupiter,1.13,Jupiter,0.481,0.31950718,0.4,Radial velocity,2380.322,12.66617,1.4215282984e+28,80696169.07,2.201138461529071e+24,6458.150285614032
75 Ceti b,271.0,5.3532,Gas giant,2012,3.0,Jupiter,1.17,Jupiter,2.1,1.9,0.12,Radial velocity,953.4000000000001,13.114529999999998,5.693704800000001e+27,83552670.63,2.443259619213957e+24,2330.372407100877
7 Canis Majoris b,65.0,3.95,Gas giant,2011,1.85,Jupiter,1.2,Jupiter,1.758,2.0,0.06,Radial velocity,587.9300000000001,13.4508,3.5111179600000004e+27,85695046.8,2.636062907832115e+24,1331.9552995370382
7 Canis Majoris c,65.0,3.95,Gas giant,2019,0.87,Jupiter,1.24,Jupiter,2.153,2.7,0.08,Radial velocity,276.486,13.89916,1.6511743920000002e+27,88551548.36,2.9085537069343164e+24,567.6960298389596
81 Ceti b,330.0,5.64307,Gas giant,2008,5.3,Jupiter,1.14,Jupiter,2.5,2.6,0.21,Radial velocity,1684.34,12.778259999999998,1.005887848e+28,81410294.45999998,2.2600944356025584e+24,4450.64521267149
8 Ursae Minoris b,530.0,6.83295,Gas giant,2015,1.31,Jupiter,1.22,Jupiter,0.49,0.25571528,0.06,Radial velocity,416.31800000000004,13.67498,2.4862510960000006e+27,87123297.58,2.770074976308525e+24,897.5392786347048
91 Aquarii b,144.0,4.23946,Gas giant,2013,3.2,Jupiter,1.17,Jupiter,0.7,0.4966461,0.03,Radial velocity,1016.96,13.114529999999998,6.07328512e+27,83552670.63,2.443259619213957e+24,2485.7305675742687
AB Aurigae b,529.0,7.076,Gas giant,2022,9.0,Jupiter,1.12,Jupiter,93.9,587.7,0.4,Direct imaging,2860.2000000000003,12.55408,1.7081114400000002e+28,79982043.68,2.1432167760270598e+24,7969.849149680386
AB Pictoris b,163.0,9.13,Gas giant,2005,13.5,Jupiter,1.1,Jupiter,260.0,4421.7,0.0,Direct imaging,4290.3,12.3299,2.5621671600000003e+28,78553792.9,2.030439658752631e+24,12618.780119641811
Alpha Arietis b,66.0,2.00538,Gas giant,2010,1.8,Jupiter,1.2,Jupiter,1.2,1.0425736,0.25,Radial velocity,572.0400000000001,13.4508,3.4162228800000005e+27,85695046.8,2.636062907832115e+24,1295.956507657659
Alpha Tauri b,67.0,0.872,Gas giant,2015,6.47,Jupiter,1.13,Jupiter,1.46,1.7,0.1,Radial velocity,2056.166,12.66617,1.2279423352000001e+28,80696169.07,2.201138461529071e+24,5578.669205330146
AU Microscopii b,32.0,8.81,Neptune-like,2020,20.12,Earth,0.363,Jupiter,0.0645,0.023271732,0.19,Transit,20.12,4.068867,1.2015664000000001e+26,25922751.657,7.29679100165933e+22,1646.7052430674764
AU Microscopii c,32.0,8.81,Neptune-like,2021,9.6,Earth,0.289,Jupiter,0.1101,0.051745377,0.04,Transit,9.6,3.2394009999999995,5.73312e+25,20638223.770999998,3.6821846253552263e+22,1556.9887399241738
b Centauri AB b,320.0,4.01,Gas giant,2021,10.9,Jupiter,1.11,Jupiter,556.0,4904.1,0.4,Direct imaging,3464.0200000000004,12.44199,2.0687127440000004e+28,79267918.29,2.0863202261003151e+24,9915.605083629822
BD-00 4475 b,139.0,9.01,Gas giant,2021,25.05,Jupiter,1.07,Jupiter,1.48,2.0,0.39,Radial velocity,7960.89,11.99363,4.754243508000001e+28,76411416.73,1.868802322221863e+24,25440.055652047613
BD+03 2562 b,3492.0,9.577,Gas giant,2017,6.4,Jupiter,1.13,Jupiter,1.3,1.3193703,0.2,Radial velocity,2033.92,12.66617,1.214657024e+28,80696169.07,2.201138461529071e+24,5518.312660604781
BD-06 1339 b,66.0,9.7,Neptune-like,2013,8.5,Earth,0.254,Jupiter,0.0428,0.010677618,0.0,Radial velocity,8.5,2.847086,5.0762e+25,18138784.906,2.499845577469385e+22,2030.605428491579
BD-06 1339 c,66.0,9.7,Gas giant,2013,0.17,Jupiter,0.747,Jupiter,0.435,0.34469542,0.31,Radial velocity,54.026,8.373123,3.2264327200000005e+26,53345166.633,6.358780554808789e+23,507.3980289444067
BD-08 2823 b,135.0,9.86,Neptune-like,2009,12.7132,Earth,0.322,Jupiter,0.06,0.015331964,0.15,Radial velocity,12.7132,3.609298,7.592323040000001e+25,22994837.558,5.093070022250239e+22,1490.7164061815772
BD-08 2823 c,135.0,9.86,Gas giant,2009,0.33,Jupiter,1.11,Jupiter,0.68,0.65051335,0.19,Radial velocity,104.87400000000001,12.44199,6.263075280000001e+26,79267918.29,2.0863202261003151e+24,300.1972181282423
BD-10 3166 b,275.0,10.013,Gas giant,2000,0.59,Jupiter,1.26,Jupiter,0.04,0.009582478,0.02,Radial velocity,187.502,14.123339999999999,1.1197619440000001e+27,89979799.13999999,3.051572323679151e+24,366.94589713998676
BD-11 4672 b,89.0,10.03,Gas giant,2014,0.65,Jupiter,1.25,Jupiter,2.36,4.5,0.05,Radial velocity,206.57000000000002,14.01125,1.2336360400000002e+27,89265673.75,2.97949095304375e+24,414.0425527185301
BD-11 4672 c,89.0,10.03,Neptune-like,2020,15.37,Earth,0.36,Jupiter,0.3,0.20314851,0.4,Radial velocity,15.37,4.03524,9.178964e+25,25708514.04,7.117369851146711e+22,1289.656740055617
BD-13 2130 b,3018.0,10.038,Gas giant,2007,9.78,Jupiter,1.11,Jupiter,1.66,2.0,0.21,Radial velocity,3108.084,12.44199,1.8561477648e+28,79267918.29,2.0863202261003151e+24,8896.753919073362
BD+14 4559 b,161.0,9.78,Gas giant,2009,1.04,Jupiter,1.23,Jupiter,0.78,0.7362081,0.29,Radial velocity,330.512,13.78707,1.9738176640000001e+27,87837422.97,2.838751432354644e+24,695.3119042066984
BD+15 2375 b,2505.0,10.41,Gas giant,2016,1.061,Jupiter,1.23,Jupiter,0.576,0.41943872,0.0,Radial velocity,337.1858,13.78707,2.0136735976e+27,87837422.97,2.838751432354644e+24,709.3518561185643
BD+15 2940 b,1391.0,9.01,Gas giant,2013,1.11,Jupiter,1.23,Jupiter,0.539,0.37645447,0.26,Radial velocity,352.75800000000004,13.78707,2.1066707760000002e+27,87837422.97,2.838751432354644e+24,742.1117439129185
BD-17 63 b,112.0,9.62,Gas giant,2008,5.1,Jupiter,1.15,Jupiter,1.34,1.8,0.54,Radial velocity,1620.78,12.890349999999998,9.67929816e+27,82124419.85,2.3200938512437312e+24,4171.942507761582
BD+20 2457 b,5023.0,9.743,Gas giant,2009,55.59,Jupiter,1.03,Jupiter,1.05,1.0392882,0.15,Radial velocity,17666.502,11.54527,1.05504349944e+29,73554915.17,1.6669543478510786e+24,63291.68527021082
BD+20 2457 c,5023.0,9.743,Gas giant,2009,12.47,Jupiter,1.1,Jupiter,2.01,1.7,0.18,Radial velocity,3962.9660000000003,12.3299,2.3666832952e+28,78553792.9,2.030439658752631e+24,11656.013932735805
BD+20 274 b,4314.0,9.367,Gas giant,2012,4.2,Jupiter,1.16,Jupiter,1.3,1.6,0.21,Radial velocity,1334.76,13.002439999999998,7.97118672e+27,82838545.24,2.3811458614487947e+24,3347.626388225531
BD+20 594 b,585.0,10.849,Neptune-like,2016,22.2481,Earth,0.23,Jupiter,0.241,0.11416838,0.0,Transit,22.2481,2.57807,1.328656532e+26,16424883.969999999,1.8560750809949852e+22,7158.420182483932
BD+45 564 b,175.0,9.67,Gas giant,2021,1.36,Jupiter,1.21,Jupiter,0.83,0.84298426,0.12,Radial velocity,432.208,13.56289,2.5811461760000004e+27,86409172.19,2.702515185799751e+24,955.0903504862881
BD+48 738 b,2843.0,9.139,Gas giant,2011,0.91,Jupiter,1.24,Jupiter,1.0,1.0748802,0.2,Radial velocity,289.19800000000004,13.89916,1.7270904560000004e+27,88551548.36,2.9085537069343164e+24,593.7969967281073
BD+48 740 b,2174.0,8.69,Gas giant,2018,1.7,Jupiter,1.2,Jupiter,1.7,2.0,0.76,Radial velocity,540.26,13.4508,3.2264327200000004e+27,85695046.8,2.636062907832115e+24,1223.9589238989
BD+49 828 b,1442.0,9.381,Gas giant,2015,1.6,Jupiter,1.21,Jupiter,4.2,7.1,0.35,Radial velocity,508.48,13.56289,3.03664256e+27,86409172.19,2.702515185799751e+24,1123.6357064544566
BD+55 362 b,171.0,9.38,Gas giant,2021,0.72,Jupiter,1.25,Jupiter,0.78,0.7271732,0.27,Radial velocity,228.816,14.01125,1.3664891520000002e+27,89265673.75,2.97949095304375e+24,458.6317507036025
BD+60 1417 b,147.0,9.374,Gas giant,2021,15.0,Jupiter,1.31,Jupiter,1662.0,67794.6,0.0,Direct imaging,4767.0,14.68379,2.8468524e+28,93550426.09,3.429461399612968e+24,8301.164726103294
BD+63 1405 b,124.0,8.96,Gas giant,2021,3.96,Jupiter,1.16,Jupiter,2.06,3.3,0.88,Radial velocity,1258.488,13.002439999999998,7.515690336000001e+27,82838545.24,2.3811458614487947e+24,3156.3334517555013
Beta Cancri b,290.0,3.51012,Gas giant,2014,7.8,Jupiter,1.12,Jupiter,1.7,1.7,0.08,Radial velocity,2478.84,12.55408,1.4803632480000002e+28,79982043.68,2.1432167760270598e+24,6907.2025963896685
Beta Pictoris b,64.0,3.85,Gas giant,2008,11.73313,Jupiter,1.65,Jupiter,10.019926,23.6,0.11,Direct imaging,3728.788714,18.49485,2.2268326200008e+28,117830689.35,6.852733848290128e+24,3249.553636985963
Beta Pictoris c,64.0,3.85,Gas giant,2019,10.14112,Jupiter,1.11,Jupiter,2.680483,3.3,0.31,Radial velocity,3222.8479360000006,12.44199,1.9246847873792006e+28,79267918.29,2.0863202261003151e+24,9225.26064455964
Beta Ursae Minoris b,126.0,2.0569,Gas giant,2014,6.1,Jupiter,1.14,Jupiter,1.4,1.4,0.19,Radial velocity,1938.58,12.778259999999998,1.157719976e+28,81410294.45999998,2.2600944356025584e+24,5122.44071647096
CD Ceti b,28.0,13.95,Super earth,2020,3.95,Earth,1.82,Earth,0.0185,0.0062970566,0.0,Radial velocity,3.95,1.82,2.3589400000000003e+25,11595220.0,6.530186556274971e+21,3612.3623416749915
CFBDSIR J145829+101343 b,75.0,,Gas giant,2011,10.5,Jupiter,1.11,Jupiter,2.6,27.5,0.0,Direct imaging,3336.9,12.44199,1.99279668e+28,79267918.29,2.0863202261003151e+24,9551.7296677168
CFHTWIR-Oph 98 b,,,Gas giant,2021,7.8,Jupiter,1.86,Jupiter,200.0,22027.4,0.0,Direct imaging,2478.84,20.84874,1.4803632480000002e+28,132827322.53999999,9.816368760903317e+24,1508.055864706304
CHXR 73 b,621.0,,Gas giant,2006,12.569,Jupiter,1.1,Jupiter,210.0,5146.9,0.0,Direct imaging,3994.4282000000003,12.3299,2.3854725210400004e+28,78553792.9,2.030439658752631e+24,11748.55165361318
CI Tauri b,515.0,13.642,Gas giant,2019,11.6,Jupiter,1.11,Jupiter,,0.024640657,0.25,Radial velocity,3686.48,12.44199,2.201565856e+28,79267918.29,2.0863202261003151e+24,10552.387061477608
COCONUTS-2 b,36.0,11.298,Gas giant,2021,6.3,Jupiter,1.11,Jupiter,7506.0,1101369.9,0.0,Direct imaging,2002.14,12.44199,1.195678008e+28,79267918.29,2.0863202261003151e+24,5731.03780063008
CoRoT-10 b,1104.0,15.293,Gas giant,2010,2.75,Jupiter,0.97,Jupiter,0.1055,0.03613963,0.53,Transit,873.95,10.872729999999999,5.219229400000001e+27,69270162.83,1.3922820846526969e+24,3748.686747845306
CoRoT-11 b,2137.0,12.897,Gas giant,2010,2.33,Jupiter,1.43,Jupiter,0.0436,0.008213553,0.0,Transit,740.474,16.028869999999998,4.4221107280000005e+27,102119930.76999998,4.4608759302795265e+24,991.309957307623
CoRoT-12 b,3674.0,15.588,Gas giant,2010,0.917,Jupiter,1.44,Jupiter,0.04016,0.007665982,0.07,Transit,291.42260000000005,16.14096,1.7403757672000003e+27,102834056.16,4.555116704733895e+24,382.0705110346171
CoRoT-13 b,3748.0,15.005,Gas giant,2010,1.308,Jupiter,0.885,Jupiter,0.051,0.0109514035,0.0,Transit,415.68240000000003,9.919965,2.4824552928000003e+27,63200097.01499999,1.0574061795852576e+24,2347.6837384983737
CoRoT-14 b,5691.0,15.932,Gas giant,2010,7.6,Jupiter,1.09,Jupiter,0.027,0.0041067763,0.0,Transit,2415.28,12.21781,1.4424052160000003e+28,77839667.51,1.9755659209877993e+24,7301.225439639016
CoRoT-16 b,2389.0,16.052,Gas giant,2011,0.535,Jupiter,1.17,Jupiter,0.0618,0.014784395,0.33,Transit,170.02300000000002,13.114529999999998,1.0153773560000003e+27,83552670.63,2.443259619213957e+24,415.5830792663231
CoRoT-17 b,3837.0,16.29,Gas giant,2011,2.43,Jupiter,1.02,Jupiter,0.0461,0.010403832,0.0,Transit,772.2540000000001,11.43318,4.611900888000001e+27,72840789.78,1.618872133272398e+24,2848.8357994509897
CoRoT-18 b,2495.0,14.868,Gas giant,2011,3.47,Jupiter,1.31,Jupiter,0.0295,0.005201916,0.08,Transit,1102.766,14.68379,6.585718552000001e+27,93550426.09,3.429461399612968e+24,1920.3361066385621
CoRoT-19 b,2579.0,14.135,Gas giant,2011,1.11,Jupiter,1.29,Jupiter,0.0518,0.010677618,0.05,Transit,352.75800000000004,14.45961,2.1066707760000002e+27,92122175.31,3.2747727127032505e+24,643.3028978860006
CoRoT-1 b,2570.0,13.623,Gas giant,2008,1.03,Jupiter,1.49,Jupiter,0.02752,0.0041067763,0.0,Transit,327.334,16.70141,1.954838648e+27,106404683.11,5.046274108738622e+24,387.38257293927217
CoRoT-20 b,2753.0,14.63,Gas giant,2011,4.3,Jupiter,0.84,Jupiter,0.09,0.025188226,0.59,Transit,1366.54,9.41556,8.160976880000001e+27,59986532.76,9.041695773864155e+23,9025.936156345857
CoRoT-20 c,2753.0,14.63,Gas giant,2018,17.0,Jupiter,1.09,Jupiter,2.9,4.6,0.6,Radial velocity,5402.6,12.21781,3.2264327200000004e+28,77839667.51,1.9755659209877993e+24,16331.68848340306
CoRoT-21 b,4563.0,16.058,Gas giant,2012,2.26,Jupiter,1.3,Jupiter,0.0417,0.0073921974,0.0,Transit,718.228,14.5717,4.289257616e+27,92836300.7,3.351522111404605e+24,1279.7939185316593
CoRoT-22 b,2046.0,13.82,Neptune-like,2014,12.2,Earth,0.435,Jupiter,0.092,0.026830938,0.08,Transit,12.2,4.875915,7.28584e+25,31064454.465,1.255682387873388e+23,580.2295286102747
CoRoT-23 b,3461.0,15.675,Gas giant,2011,2.8,Jupiter,1.05,Jupiter,0.048,0.009856262,0.16,Transit,889.84,11.76945,5.314124480000001e+27,74983165.95,1.7659562058328433e+24,3009.2051334273065
CoRoT-24 b,1930.0,15.383,Neptune-like,2014,5.7,Earth,0.33,Jupiter,0.056,0.013963039,0.0,Transit,5.7,3.69897,3.40404e+25,23566137.87,5.4821870786321035e+22,620.927369164017
CoRoT-24 c,1930.0,15.383,Neptune-like,2014,28.0,Earth,0.44,Jupiter,0.098,0.03230664,0.0,Transit,28.0,4.93196,1.67216e+26,31421517.16,1.2994813816016836e+23,1286.7902716227986
CoRoT-25 b,3600.0,14.79,Gas giant,2013,0.27,Jupiter,1.08,Jupiter,0.0578,0.013415469,0.0,Transit,85.80600000000001,12.10572,5.124334320000001e+26,77125542.12,1.9216898598096125e+24,266.6577176250326
CoRoT-26 b,3409.0,15.861,Gas giant,2013,0.52,Jupiter,1.26,Jupiter,0.0526,0.011498973,0.0,Transit,165.256,14.123339999999999,9.869088320000001e+26,89979799.13999999,3.051572323679151e+24,323.40994324202217
CoRoT-27 b,3296.0,15.774,Gas giant,2014,10.39,Jupiter,1.007,Jupiter,0.0476,0.009856262,0.065,Transit,3301.9420000000005,11.287462999999999,1.9719197624000003e+28,71912426.77299999,1.5577596263388988e+24,12658.690911347312
CoRoT-28 b,2499.0,13.783,Gas giant,2015,0.484,Jupiter,0.955,Jupiter,0.0603,0.014236824,0.05,Transit,153.8152,10.704595,9.185843744e+26,68198974.74499999,1.3286853508144577e+24,691.3483119513029
CoRoT-29 b,2631.0,15.408,Gas giant,2015,0.85,Jupiter,0.9,Jupiter,0.0386,0.007939767,0.08,Transit,270.13,10.0881,1.6132163600000002e+27,64271285.1,1.1120890392416737e+24,1450.6179838801772
CoRoT-2 b,696.0,12.516,Gas giant,2008,3.47,Jupiter,1.466,Jupiter,0.02798,0.0046543465,0.01,Transit,1102.766,16.432394,6.585718552000001e+27,104690782.174,4.8063339513981084e+24,1370.216597222565
CoRoT-30 b,3367.0,15.571,Gas giant,2020,2.9,Jupiter,1.009,Jupiter,0.0844,0.024914443,0.01,Transit,921.62,11.309880999999999,5.50391464e+27,72055251.851,1.5670596593287297e+24,3512.255967560082
CoRoT-31 b,6543.0,15.479,Gas giant,2020,0.84,Jupiter,1.46,Jupiter,0.0586,0.012594113,0.02,Transit,266.952,16.36514,1.594237344e+27,104262306.94,4.7475615010005834e+24,335.8013042409251
CoRoT-35 b,3664.0,15.635,Gas giant,2022,1.1,Jupiter,1.68,Jupiter,0.0429,0.008761123,0.0,Transit,349.58000000000004,18.83112,2.0876917600000004e+27,119973065.52,7.233356619091324e+24,288.6200515110594
CoRoT-36 b,3020.0,13.126,Gas giant,2022,0.68,Jupiter,1.41,Jupiter,0.066,0.015331964,0.0,Transit,216.104,15.804689999999999,1.2905730880000002e+27,100691679.99,4.2763118637477136e+24,301.79582993953017
CoRoT-3 b,2508.0,13.448,Gas giant,2008,21.66,Jupiter,1.01,Jupiter,0.05783,0.011772759,0.0,Transit,6883.548000000001,11.32109,4.1108548656e+28,72126664.39,1.5717235243069078e+24,26155.076271526752
CoRoT-4 b,2370.0,13.652,Gas giant,2008,0.72,Jupiter,1.19,Jupiter,0.09,0.025188226,0.0,Transit,228.816,13.338709999999999,1.3664891520000002e+27,84980921.41,2.5707089894094093e+24,531.56119873138
CoRoT-5 b,2879.0,14.043,Gas giant,2009,0.467,Jupiter,1.388,Jupiter,0.04947,0.0109514035,0.09,Transit,148.41260000000003,15.558091999999998,8.863200472000002e+26,99120604.13199998,4.0792510162295364e+24,217.27519186088932
CoRoT-6 b,2105.0,13.961,Gas giant,2009,2.96,Jupiter,1.166,Jupiter,0.0855,0.02436687,0.1,Transit,940.688,13.069693999999998,5.617788736000001e+27,83267020.47399999,2.418286120608922e+24,2323.0455189419217
CoRoT-7 b,522.0,11.728,Super earth,2009,4.07661,Earth,1.681,Earth,0.017016,0.0024640656,0.0,Transit,4.07661,1.681,2.434551492e+25,10709651.0,5.145345769589549e+21,4731.560522888256
CoRoT-7 c,522.0,11.728,Neptune-like,2009,8.4,Earth,0.253,Jupiter,0.046,0.010130048,0.0,Radial velocity,8.4,2.835877,5.01648e+25,18067372.367,2.470435932804325e+22,2030.605179186138
CoRoT-7 d,522.0,11.728,Neptune-like,2022,17.142,Earth,0.384,Jupiter,,0.024640657,0.0,Radial velocity,17.142,4.304256,1.02372024e+26,27422414.975999996,8.637850936384272e+22,1185.1561777801646
CoRoT-8 b,1050.0,14.792,Gas giant,2010,0.22,Jupiter,0.57,Jupiter,0.063,0.016974675,0.0,Transit,69.916,6.389129999999999,4.17538352e+26,40705147.22999999,2.825118044503198e+23,1477.9501083588345
