Name,ESI,Mass (Me),Radius (Re),Flux (Se),Tsurf (K),Period (days),Distance (ly),Age (Gy),Type,Type_ru
Kepler-442 b,0.838242023,2.36,1.34,0.699682639,263.0391661,112.3053,1193.616805,2.9,K Warm Terran,K Тёплая Терра
Kepler-443 b,0.714604237,6.04,2.33,0.890088335,278.8004209,177.6693,2616.655003,3.2,K Warm Superterran,K Тёплая Супертерра
Kepler-452 b,0.826718498,3.29,1.63,1.109012984,295.2294509,384.843,1799.490714,6,G Warm Superterran,G Тёплая Супертерра
Kepler-62 e,0.82742754,36,1.61,1.151182688,297.9967884,122.3874,981.3186034,7,K Warm Superterran,K Тёплая Супертерра
Kepler-62 f,0.678714084,35,1.41,0.40714688,229.8070241,267.291,981.3186034,7,K Warm Terran,M Тёплая Терра
Kepler-705 b,0.730736712,5.1,2.11,0.76563897,269.1110487,56.0560538,903.0639944,3.89,M Warm Superterran,M Тёплая Супертерра
LHS 1140 b,0.657843389,5.6,1.73,0.425225797,232.2361055,24.73723,48.87806432,5,M Warm Superterran,M Тёплая Супертерра
LP 890-9 c,0.885251089,25.3,1.367,0.908576167,280.8767919,8.457463,105.7717385,7.2,M Warm Terran,M Тёплая Терра
Proxima Cen b,0.864142293,1.07,1.03,0.678468236,261.0810337,11.1868,4.243909256,NaN,M Warm Terran,M Тёплая Терра
Ross 128 b,0.857720666,1.4,1.11,1.482444411,316.641714,9.8658,11.00626468,5,M Warm Terran,M Тёплая Терра
Ross 508 b,0.770770721,4,1.83,1.320490988,301.8591463,10.77,36.56306607,NaN,M Warm Superterran,M Тёплая Супертерра
Teegarden's Star b,0.968362382,1.16,1.05,1.077943486,293.0901371,4.90634,12.49431882,8,M Warm Terran,M Тёплая Терра
Teegarden's Star c,0.659004778,1.05,1.02,0.349401625,221.1191594,11.416,12.49431882,8,M Warm Terran,M Тёплая Терра
TOI-2257 b,0.716019791,5.45,2.194,0.744017123,253.7007172,35.189346,188.4891401,NaN,M Warm Superterran,M Тёплая Супертерра
TOI-700 d,0.94117592,1.25,1.073,0.859826877,276.9392586,37.42396,101.5209473,1.5,M Warm Terran,M Тёплая Терра
TOI-700 e,0.912031859,0.818,0.953,1.278049314,305.688111,27.80978,101.5209473,1.5,M Warm Terran,M Тёплая Терра
TOI-715 b,0.806760254,3.02,1.55,0.712596714,264.3239251,19.288004,138.3057995,6.2,M Warm Terran,M Тёплая Терра
TOI-904 c,0.658603185,5.34,2.167,0.524433966,244.82075,83.9997,150.322365,1.5,M Warm Superterran,M Тёплая Супертерра
TRAPPIST-1 d,0.907662411,0.388,0.788,1.115770254,295.6742548,4.049219,40.54082811,0.5,M Warm Subterran,M Тёплая Субтерра
TRAPPIST-1 e,0.845494512,0.692,0.92,0.646776017,257.9953508,6.101013,40.54082811,0.5,M Warm Terran,M Тёплая Терра
TRAPPIST-1 f,0.677112406,1.039,1.045,0.373530611,224.9048458,9.20754,40.54082811,0.5,M Warm Terran,M Тёплая Терра
TRAPPIST-1 g,0.575663821,1.321,1.129,0.252320551,203.8981685,12.352446,40.54082811,0.5,M Warm Terran,M Тёплая Терра
Wolf 1061 c,0.802187523,3.41,1.66,1.29677161,306.3028383,17.8719,14.04401644,NaN,M Warm Superterran,M Тёплая Супертерра
Wolf 1069 b,0.84859348,1.26,1.08,0.652020805,258.5180578,15.564,31.25686672,NaN,M Warm Terran,M Тёплая Терра
